"bureau","Valeur.fonciere","Surface.reelle.bati","Nombre.pieces.principales","Surface.terrain"
"06088_411",229496.8,25.9565217391304,1.1304347826087,175
"06088_412",354344.945454545,28.3611111111111,1.16666666666667,544.666666666667
"06088_413",442717.463137255,28,1.05940594059406,905.5
"06088_414",199154.287671233,22.9142857142857,1,361.666666666667
"06088_415",347217.754152542,31.3693693693694,1.13513513513514,205.181818181818
"06088_416",195767.843971631,22.5851063829787,0.918439716312057,269
"06088_417",287715.71,28.3367346938776,1.39795918367347,718.764705882353
"06088_418",176659.067484663,27.1931034482759,1.28275862068966,NA
"06088_419",208201.772151899,32.5732484076433,1.68152866242038,397.818181818182
"06088_420",335513.043478261,25.4117647058824,0.882352941176471,1376.83333333333
"06088_422",346342.1125,28.3733333333333,1.05333333333333,440.055555555556
"06088_423",207833.333333333,27,1.16666666666667,NA
"06088_424",158948.421052632,20.0877192982456,1.03508771929825,NA
"06088_425",670672.498901099,74.46,2.72,1010.375
"06088_426",462500.407894737,42.2535211267606,1.69014084507042,781.578125
"06088_427",359376.509433962,42.2444444444444,1.66666666666667,1141.85714285714
"06088_428",155689.285714286,20.536231884058,0.869565217391304,424.25
"06088_429",189263.333333333,33.3333333333333,1.31111111111111,NA
"06088_430",189868.337662338,24.2467532467532,1.09090909090909,1227.5
"06088_431",298073.076923077,36.5512820512821,1.3974358974359,904
"06088_432",909984.65,61.4,1.84444444444444,1119.15384615385
"06088_433",301159.222222222,22.4333333333333,0.888888888888889,NA
"06088_434",7000,NA,NA,37
"06088_435",395000,28.3333333333333,1,NA
"06088_501",163804.693877551,38.3877551020408,1.02040816326531,NA
"06088_502",187384.4888,38.2666666666667,1.41333333333333,180.5
"06088_503",244115.165957447,32.1489361702128,1.38297872340426,165
"06088_504",848764.854700855,39.6548672566372,1.1858407079646,209
"06088_505",293667.053706294,29.9448275862069,1.18620689655172,183
"06088_506",392276.102941176,31.8225806451613,1.33870967741935,NA
"06088_507",526790.743362832,40.6017699115044,1.48672566371681,560
"06088_508",230118.611111111,26.4019607843137,1.06862745098039,139
"06088_509",258704.741573034,31.5955056179775,1.19101123595506,NA
