"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"43542","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","123","","AV","ARISTIDE BRIAND","0165",NA,"",NA,9,"","","","","","",1,"C",67,1975,1975,1975,1,52,1,"93/1992/AC/103","30/04/1993",NA,NA,"01/1900","","","","","","",2,93007,"AV ARISTIDE BRIAND",2154,659552.9,6871758,"QP093055","0106","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43550","3",52,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","123","","AV","ARISTIDE BRIAND","0169",NA,"",NA,10,"","","","","","",1,"C",67,1975,1975,1975,1,52,1,"93/1992/AC/103","30/04/1993",NA,NA,"","","","","","","",2,93007,"AV ARISTIDE BRIAND",2154,659552.9,6871758,"QP093055","0106","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"pauvres","moyen"
"43562","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","37","","RUE","PIERRE SEMARD","0806",NA,"",NA,0,"","","","","","",1,"C",68,1988,1992,1988,1,12,1,"93/1988/80-415/095","19/07/1989",NA,NA,"01/1900","","","","","","",2,93007,"RUE PIERRE SEMARD",2154,661664,6870575.6,"QP093014","0116","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43574","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","41","","RUE","PIERRE SEMARD","0904",NA,"",NA,0,"","","","","","",1,"C",72,1988,1996,1988,1,12,1,"93/1988/80-415/095","19/07/1989",NA,NA,"01/1900","","","","","","",2,93007,"RUE PIERRE SEMARD",2154,661657.8,6870590.9,"QP093014","0116","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43603","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","23 ALLEE Arc en Ciel","0201",NA,"",NA,2,"","","","0F01-681F-09-23","BLANC-MESNIL  G. DOREL","",1,"C",65,1933,2001,2001,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"11/2018","","","","2","","",1,93007,"ALL L ARC EN CIEL",2154,659232.6,6872612.7,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43660","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","33 ALLEE croix du sud","0302",NA,"",NA,3,"","","","0F01-681F-12-33","BLANC-MESNIL  G. DOREL","",1,"C",56,1933,1999,1999,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"11/2018","","","","2","","",1,93007,"ALL DE LA CROIX DU SUD",2154,659261.7,6872571.8,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43662","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","33 ALLEE croix du sud","0402",NA,"",NA,4,"","","","0F01-681F-12-33","BLANC-MESNIL  G. DOREL","",1,"C",56,1933,1999,1999,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"11/2018","","","","2","","",1,93007,"ALL DE LA CROIX DU SUD",2154,659261.7,6872571.8,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43672","3",12,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","","","","35 ALLEE croix du sud","0201",NA,"",NA,2,"","","","0F01-681F-13-35","BLANC-MESNIL  G. DOREL","",1,"C",65,1933,1999,1999,1,12,1,"93/1997/85.1231/072","27/11/1997",NA,NA,"11/2018","","","","2","","",1,93007,"ALL DE LA CROIX DU SUD",2154,659268.4,6872583.1,"QP093055","0104","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
"43691","3",14,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","30","","AV","DES COSMONAUTES","5829",NA,"1",NA,7,"","","","","","",1,"C",58,1965,1999,1965,1,14,1,"93/2013/2011-1191/040","09/09/2013",NA,NA,"","","","","","","",2,93007,"AV DES COSMONAUTES",2154,660103.5,6872330.9,"QP093055","0108","1125010","1121NZF","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"moins pauvres","moyen"
"43722","3",11,"11","Cle-de-France",93,"Seine-Saint-Denis",200054781,"MC)tropole du Grand Paris",1,93007,93150,"Le Blanc-Mesnil","11","","MAIL","GABRIEL PERI","0423",NA,"",NA,2,"","","","","","",2,"C",62,1997,1997,1997,1,11,1,"93/1996/80-416/048","24/06/1996",NA,NA,"01/1900","","","","","","",2,93007,"MAIL GABRIEL PERI",2154,660566.44,6871108.43,"HZ","0113","HZ","HZ","HZ","1",1,11,NA,1,1,1,1,1,2021,1,1,1,"T07ZZZZZZ",851,1,1112,"très pauvres","moyen"
