"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"909212";"69";"CRS3035RES200mN2555400E3911800";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";503;239;77;113;17;37;41;8335472,4;14246;231;8;85;83;7;64;0;177;28;16,5;38,5;29;39;109;94;61;68;20
"909213";"69";"CRS3035RES200mN2555400E3912000";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";42,5;21;1;7;1;18;3;1213775,2;2271;0;21;3;2;1;15;0;0;1;0;3;3,5;3;4;8;8;9;3
"909214";"69";"CRS3035RES200mN2555400E3912200";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";210,5;99;10;47;5;49;8;5247098,6;7885;62;37;21;31;17;30;0;0;10,5;3;10,5;22;15,5;52;48;24;23;2
"909215";"69";"CRS3035RES200mN2555400E3912400";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";107,5;40;4;10;6;34;4;2744807,3;4206;5;35;9;16;3;12;0;0;5;2;6,5;11;12;17;19;9;16;10
"909216";"69";"CRS3035RES200mN2555400E3912600";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";58;28;7;14;2;16;3;1295481,6;2164;7;21;17;5;1;5;0;10;4;2;4;7;2;8;13;10;4;4
"909217";"69";"CRS3035RES200mN2555400E3912800";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";294;97;39;15;22;23;15;4572502,1;7494;81;16;11;7;77;2;0;68;22;16;32;34;11;68;37;30;33;11
"909218";"69";"CRS3035RES200mN2555400E3913000";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"69264";104;32;18;2;7;3;3;1413320,5;2210;25;7;4;26;1;1;0;25;10;5;9;14;7;19;16;6;16;1
"909219";"69";"CRS3035RES200mN2555400E3913200";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"69264";935,5;362;195;127;58;7;41;12252299;20645;355;7;133;229;0;0;0;355;68;42;93,5;95;43;168;161;82;141;42
"909826";"69";"CRS3035RES200mN2555600E3910200";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555600E3910200";0;0;"6926469092";723,5;218;110;48;60;0;36;9899258,4;17190;218;0;0;50;168;0;0;218;62;24,5;89;127;42;125;123;55;61;12
"909827";"69";"CRS3035RES200mN2555600E3910400";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555600E3910400";0;0;"6926469115";453;158;76;53;32;6;24;6290579,4;11065;152;6;1;4;152;1;0;152;46;14;45;57;23;82;81;39;45;12
"909828";"69";"CRS3035RES200mN2555600E3910600";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555600E3910600";0;0;"6926469115";353,5;121;38;30;23;12;21;5530352,8;9769;107;14;14;105;0;2;0;107;20;14;41;45;17,5;68;57;34;46;11
"909829";"69";"CRS3035RES200mN2555600E3910800";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555600E3910800";0;0;"6926469115";407;190;36;75;13;40;35;8151904,3;14594;158;32;9;14;64;103;0;130;29;13;24;34,5;26,5;79;68;47;68;18
"909830";"69";"CRS3035RES200mN2555600E3911000";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";532,5;342;16;210;6;200;23;13267099,1;23876;341;1;1;0;227;114;0;0;9;3;12,5;22;22;67;89;70;169;69
"909831";"69";"CRS3035RES200mN2555600E3911200";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";171;97;7;46;2;53;6;4762641,2;7032;94;3;6;1;28;62;0;0;9;0;2;10;6;30;26;19;50;19
"909832";"69";"CRS3035RES200mN2555600E3911400";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";370,5;210;23;116;7;92;28;8963626,4;15305;185;25;71;25;17;96;1;9;13;5,5;14;25,5;28,5;89;59;49;53;34
"909833";"69";"CRS3035RES200mN2555600E3911600";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";277,5;165;17;85;1;36;25;6625051,2;11100;160;5;82;0;0;83;0;0;7;4;10;19,5;31;85;57;26;31;7
"909834";"69";"CRS3035RES200mN2555600E3911800";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";128;61;4;25;6;34;11;2968121,5;4936;58;3;15;0;39;7;0;0;3;2,5;8,5;17;8;23;29;13;14;10
"909835";"69";"CRS3035RES200mN2555600E3912000";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";264,5;136;16;57;4;55;14;6256538;9465;119;17;13;20;20;83;0;19;13;5;15,5;10,5;20,5;71;53;27;37;12
"909836";"69";"CRS3035RES200mN2555600E3912200";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";463,5;209;42;84;19;107;32;8726567,1;13910;196;13;0;123;1;84;1;27;31,5;15;33,5;41;41,5;118;69;46;50;18
"909837";"69";"CRS3035RES200mN2555600E3912400";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";112;38;5;7;4;26;5;2571093,4;3545;7;31;11;16;7;4;0;0;6;2;7;15;9;16;24;11;15;7
"909838";"69";"CRS3035RES200mN2555600E3912600";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";235;113;33;49;8;7;23;3681422,9;7600;98;15;110;0;0;3;0;97;12;5;17;26;13;35;46;29;29;23
"909839";"69";"CRS3035RES200mN2555600E3912800";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";215;78;39;29;16;9;12;2885651,4;5622;67;11;11;3;50;14;0;48;15;10,5;28,5;25;14;41;40;25;11;5
"909840";"69";"CRS3035RES200mN2555600E3913000";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";0;0;"69264";68;22;8;3;5;7;2;1122481,8;1703;18;4;3;1;17;1;0;9;3;1;6;4;7;18;12;5;8;4
"909841";"69";"CRS3035RES200mN2555600E3913200";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";1;0;"69264";16;6,4;0,4;1,5;1,1;3;1,9;311591,2;455,9;1,5;4,9;4,1;0,4;0,4;1,1;0,4;0;0,7;0,4;0,7;2,1;0,7;2,3;3;1,5;3,8;0,8
"909842";"69";"CRS3035RES200mN2555600E3913400";"CRS3035RES1000mN2555000E3913000";"CRS3035RES1000mN2555000E3913000";1;0;"69264";15,5;6,2;0,4;1,5;1,1;2,9;1,8;301854;441,7;1,5;4,7;4;0,3;0,4;1,1;0,4;0;0,7;0,4;0,7;2;0,7;2,2;2,9;1,5;3,7;0,7
"910439";"69";"CRS3035RES200mN2555800E3910400";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555800E3910400";0;0;"6926469092";309,5;127;59;39;15;20;17;4408225,4;8785;126;1;0;0;127;0;0;101;18,5;10;26;29;18;57;63;32;45;10
"910440";"69";"CRS3035RES200mN2555800E3910600";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555800E3910600";0;0;"6926469092";145,5;53;19;15;10;2;9;2432822,9;4057;51;2;0;16;0;37;0;51;8;4;15;27,5;8;18;36;7;10;12
"910441";"69";"CRS3035RES200mN2555800E3910800";"CRS3035RES1000mN2555000E3910000";"CRS3035RES200mN2555800E3910800";0;0;"6926469092";219,5;92;12;27;9;30;13;4119811,4;7399;74;18;0;51;38;3;0;42;11;4;10,5;22;21;27;42;30;36;16
"910442";"69";"CRS3035RES200mN2555800E3911000";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";126;71;5;32;1;52;7;3467095,9;5798;61;10;2;0;8;61;0;0;2;3;4,5;7,5;2;21;26;19;27;13
"910443";"69";"CRS3035RES200mN2555800E3911200";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";618;390;27;226;6;153;24;16035986,2;25645;379;11;33;28;41;288;0;1;18;9;18,5;22,5;56;164;89;59;119;63
"910444";"69";"CRS3035RES200mN2555800E3911400";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";228,5;124;10;67;4;50;12;5630477,7;10646;114;10;73;12;11;27;1;0;5;6,5;15;16;12;46;42;19;39;28
"910445";"69";"CRS3035RES200mN2555800E3911600";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";332;187;32;94;2;52;34;7483932,2;14454;184;3;99;16;2;70;0;7;16,5;4;15,5;18;30;82;68;29;52;17
"910446";"69";"CRS3035RES200mN2555800E3911800";"CRS3035RES1000mN2555000E3911000";"CRS3035RES1000mN2555000E3911000";0;0;"69264";308,5;137;23;56;13;23;20;6196298,4;9769;137;0;44;5;0;88;0;62;21,5;13;34;28,5;21,5;79;45;23;36;7
"910447";"69";"CRS3035RES200mN2555800E3912000";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";665;294;64;129;30;64;32;12143451,4;19183;272;22;31;124;0;138;1;121;47;28;57,5;53,5;64;178;121;55;47;14
"910448";"69";"CRS3035RES200mN2555800E3912200";"CRS3035RES1000mN2555000E3912000";"CRS3035RES1000mN2555000E3912000";0;0;"69264";348;174;38;88;11;63;24;6868553,5;11994;153;21;24;91;0;59;0;50;26;10;26,5;21,5;30;73;72;41;34;14
