"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"187","Pantin","Autres dotations de fonctionnement","5.696338522613559"
"188","Les Pavillons-sous-Bois","Autres dotations de fonctionnement","2.7742133673973957"
"189","Pierrefitte-sur-Seine","Autres dotations de fonctionnement","1.7660870906063035"
"190","Le Pré-Saint-Gervais","Autres dotations de fonctionnement","1.9634251759001953"
"191","Romainville","Autres dotations de fonctionnement","11.97840476261884"
"192","Rosny-sous-Bois","Autres dotations de fonctionnement","2.742938264605186"
"193","Saint-Denis","Autres dotations de fonctionnement","7.169382481573766"
"194","Saint-Ouen-sur-Seine","Autres dotations de fonctionnement","6.787761252813203"
"195","Sevran","Autres dotations de fonctionnement","2.8710470751124957"
"196","Stains","Autres dotations de fonctionnement","0.7360111762233267"
"197","Tremblay-en-France","Autres dotations de fonctionnement","12.927185030963058"
"198","Vaujours","Autres dotations de fonctionnement","0.027155914690687507"
"199","Villemomble","Autres dotations de fonctionnement","1.789428459067969"
"200","Villepinte","Autres dotations de fonctionnement","7.532933398628796"
"201","Villetaneuse","Autres dotations de fonctionnement","5.940157622333752"
"202","Aubervilliers","FCTVA","99.06632867636468"
"203","Aulnay-sous-Bois","FCTVA","23.51395379209912"
"204","Bagnolet","FCTVA","22.404041475704556"
"205","Le Blanc-Mesnil","FCTVA","37.42398486197685"
"206","Bobigny","FCTVA","71.88340327227266"
"207","Bondy","FCTVA","39.42969246424332"
"208","Le Bourget","FCTVA","73.08465635507734"
"209","Clichy-sous-Bois","FCTVA","52.714919814802386"
"210","Coubron","FCTVA","33.28108674368514"
"211","La Courneuve","FCTVA","72.13382456808138"
"212","Drancy","FCTVA","61.018007930856335"
"213","Dugny","FCTVA","41.6289760731879"
"214","Épinay-sur-Seine","FCTVA","31.792333650278724"
"215","Gagny","FCTVA","29.344585188483226"
"216","Gournay-sur-Marne","FCTVA","62.552798099078345"
"217","L'Île-Saint-Denis","FCTVA","15.873361741333639"
"218","Les Lilas","FCTVA","36.959947857052015"
"219","Livry-Gargan","FCTVA","33.30938011164481"
"220","Montfermeil","FCTVA","40.728567971530246"
"221","Montreuil","FCTVA","31.552896176814517"
"222","Neuilly-Plaisance","FCTVA","36.250238183675364"
"223","Neuilly-sur-Marne","FCTVA","36.78158824623396"
"224","Noisy-le-Grand","FCTVA","54.41365218865685"
"225","Noisy-le-Sec","FCTVA","27.52673776201086"
"226","Pantin","FCTVA","81.52134861136173"
"227","Les Pavillons-sous-Bois","FCTVA","30.14869828580847"
"228","Pierrefitte-sur-Seine","FCTVA","63.921534262628754"
"229","Le Pré-Saint-Gervais","FCTVA","30.100151954118132"
"230","Le Raincy","FCTVA","64.48574472321783"
"231","Romainville","FCTVA","37.358464745223884"
"232","Rosny-sous-Bois","FCTVA","91.73473297424603"
"233","Saint-Denis","FCTVA","36.978856963635415"
"234","Saint-Ouen-sur-Seine","FCTVA","115.73660127531883"
"235","Sevran","FCTVA","59.13173127956617"
"236","Stains","FCTVA","18.0839806641446"
"237","Tremblay-en-France","FCTVA","56.47956518257528"
"238","Vaujours","FCTVA","0.0"
"239","Villemomble","FCTVA","50.18715278232942"
"240","Villepinte","FCTVA","59.45140780452601"
"241","Villetaneuse","FCTVA","65.12597318067755"
"242","Le Raincy","Fiscalité reversée","140.31620868180008"
"243","Aubervilliers","Fiscalité reversée","88.48689881341473"
"244","Aulnay-sous-Bois","Fiscalité reversée","417.7915559048566"
"245","Bagnolet","Fiscalité reversée","219.29058263489733"
"246","Le Blanc-Mesnil","Fiscalité reversée","332.39026645660664"
"247","Bobigny","Fiscalité reversée","427.33244115888465"
"248","Bondy","Fiscalité reversée","-7.229949120922626"
"249","Le Bourget","Fiscalité reversée","360.47807666442503"
"250","Clichy-sous-Bois","Fiscalité reversée","48.1470173790512"
"251","Coubron","Fiscalité reversée","96.87801057372234"
"252","La Courneuve","Fiscalité reversée","216.18997821903616"
"253","Drancy","Fiscalité reversée","170.07165696253787"
"254","Dugny","Fiscalité reversée","364.36123328641804"
"255","Épinay-sur-Seine","Fiscalité reversée","-123.91668064955161"
"256","Gagny","Fiscalité reversée","57.98857227663995"
"257","Gournay-sur-Marne","Fiscalité reversée","80.88680875576037"
"258","L'Île-Saint-Denis","Fiscalité reversée","1.6518495911551307"
"259","Les Lilas","Fiscalité reversée","51.09737589554453"
"260","Livry-Gargan","Fiscalité reversée","137.05845082002685"
"261","Montfermeil","Fiscalité reversée","8.039217081850534"
"262","Montreuil","Fiscalité reversée","212.94129986521108"
"263","Neuilly-Plaisance","Fiscalité reversée","218.70373293713436"
"264","Neuilly-sur-Marne","Fiscalité reversée","145.52047078827812"
"265","Noisy-le-Grand","Fiscalité reversée","396.2463616582361"
"266","Noisy-le-Sec","Fiscalité reversée","45.25365030608493"
"267","Pantin","Fiscalité reversée","538.7499302810086"
"268","Les Pavillons-sous-Bois","Fiscalité reversée","182.11274105818362"
"269","Pierrefitte-sur-Seine","Fiscalité reversée","-83.18500585949546"
"270","Le Pré-Saint-Gervais","Fiscalité reversée","-46.36593153195766"
"271","Romainville","Fiscalité reversée","523.3795099421168"
"272","Rosny-sous-Bois","Fiscalité reversée","322.2323481693089"
"273","Saint-Denis","Fiscalité reversée","223.3670610374449"
