"","LIBCOM","nb","zone","typecom","com","reg","dep","arr","tncc","ncc","nccenr","can","comparent","reg2","corresp"
"242","Mérignac",6736,"reg75","COM","16216",75,"16","162",0,"MERIGNAC","Mérignac","1615",NA,"75","ok"
"243","Meudon",5084,"IDF_DEP_92","COM","92048",11,"92","923",0,"MEUDON","Meudon","9217",NA,"11","ok"
"244","Meyzieu",2498,"reg84","COM","69282",84,"69","691",0,"MEYZIEU","Meyzieu","",NA,"84","ok"
"245","Mont-Saint-Aignan",4021,"reg28","COM","76451",28,"76","763",0,"MONT SAINT AIGNAN","Mont-Saint-Aignan","7622",NA,"28","ok"
"246","Montargis",3295,"reg24","COM","45208",24,"45","451",0,"MONTARGIS","Montargis","4511",NA,"24","ok"
"247","Montataire",2258,"reg32","COM","60414",32,"60","604",0,"MONTATAIRE","Montataire","6013",NA,"32","ok"
"248","Montceau-les-Mines",3963,"reg27","COM","71306",27,"71","711",0,"MONTCEAU LES MINES","Montceau-les-Mines","7123",NA,"27","ok"
"249","Montereau-Fault-Yonne",3693,"IDF_DEP_77","COM","77305",11,"77","773",0,"MONTEREAU FAULT YONNE","Montereau-Fault-Yonne","7713",NA,"11","ok"
"250","Montigny-le-Bretonneux",3624,"IDF_DEP_78","COM","78423",11,"78","784",0,"MONTIGNY LE BRETONNEUX","Montigny-le-Bretonneux","7810",NA,"11","ok"
"251","Montigny-lès-Cormeilles",2457,"IDF_DEP_95","COM","95424",11,"95","951",0,"MONTIGNY LES CORMEILLES","Montigny-lès-Cormeilles","9513",NA,"11","ok"
"252","Montluçon",4785,"reg84","COM","03185",84,"03","031",0,"MONTLUCON","Montluçon","0397",NA,"84","ok"
"253","Montrouge",5201,"IDF_DEP_92","COM","92049",11,"92","921",0,"MONTROUGE","Montrouge","9218",NA,"11","ok"
"256","Moulins",3357,"reg84","COM","03190",84,"03","032",0,"MOULINS","Moulins","0398",NA,"84","ok"
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Muret",2349,"reg76","COM","31395",76,"31","311",0,"MURET","Muret","3109",NA,"76","ok"
"259","Nanterre",20880,"IDF_DEP_92","COM","92050",11,"92","922",0,"NANTERRE","Nanterre","9299",NA,"11","ok"
"260","Nantes",36097,"reg52","COM","44109",52,"44","442",0,"NANTES","Nantes","4496",NA,"52","ok"
"261","Narbonne",6140,"reg76","COM","11262",76,"11","113",0,"NARBONNE","Narbonne","1199",NA,"76","ok"
"262","Nemours",2095,"IDF_DEP_77","COM","77333",11,"77","774",0,"NEMOURS","Nemours","7715",NA,"11","ok"
"263","Nice",22341,"reg93","COM","06088",93,"06","062",0,"NICE","Nice","0699",NA,"93","ok"
"264","Niort",6109,"reg75","COM","79191",75,"79","792",0,"NIORT","Niort","7999",NA,"75","ok"
"265","Nogent-sur-Oise",2900,"reg32","COM","60463",32,"60","604",0,"NOGENT SUR OISE","Nogent-sur-Oise","6016",NA,"32","ok"
"266","Noisiel",2811,"IDF_DEP_77","COM","77337",11,"77","775",0,"NOISIEL","Noisiel","7701",NA,"11","ok"
"267","Noyon",2172,"reg32","COM","60471",32,"60","603",0,"NOYON","Noyon","6017",NA,"32","ok"
"268","Oissel",2017,"reg28","COM","76484",28,"76","763",1,"OISSEL","Oissel","7631",NA,"28","ok"
"269","Orange",2678,"reg93","COM","84087",93,"84","843",1,"ORANGE","Orange","8411",NA,"93","ok"
"270","Orléans",15410,"reg24","COM","45234",24,"45","452",1,"ORLEANS","Orléans","4599",NA,"24","ok"
"271","Orly",5105,"IDF_DEP_94","COM","94054",11,"94","943",1,"ORLY","Orly","9415",NA,"11","ok"
"272","Orvault",2182,"reg52","COM","44114",52,"44","442",1,"ORVAULT","Orvault","4425",NA,"52","ok"
"273","Oullins",2204,"reg84","COM","69149",84,"69","691",1,"OULLINS","Oullins","",NA,"84","ok"
"274","Paris 10e Arrondissement",6846,"IDF_DEP_75","ARM","75110",11,"75","751",0,"PARIS 10E ARRONDISSEMENT","Paris 10e Arrondissement","",75056,"11","ok"
"275","Paris 11e Arrondissement",10155,"IDF_DEP_75","ARM","75111",11,"75","751",0,"PARIS 11E ARRONDISSEMENT","Paris 11e Arrondissement","",75056,"11","ok"
"276","Paris 12e Arrondissement",16800,"IDF_DEP_75","ARM","75112",11,"75","751",0,"PARIS 12E ARRONDISSEMENT","Paris 12e Arrondissement","",75056,"11","ok"
"277","Paris 13e Arrondissement",33988,"IDF_DEP_75","ARM","75113",11,"75","751",0,"PARIS 13E ARRONDISSEMENT","Paris 13e Arrondissement","",75056,"11","ok"
"278","Paris 14e Arrondissement",19047,"IDF_DEP_75","ARM","75114",11,"75","751",0,"PARIS 14E ARRONDISSEMENT","Paris 14e Arrondissement","",75056,"11","ok"
"279","Paris 15e Arrondissement",22492,"IDF_DEP_75","ARM","75115",11,"75","751",0,"PARIS 15E ARRONDISSEMENT","Paris 15e Arrondissement","",75056,"11","ok"
"280","Paris 16e Arrondissement",5366,"IDF_DEP_75","ARM","75116",11,"75","751",0,"PARIS 16E ARRONDISSEMENT","Paris 16e Arrondissement","",75056,"11","ok"
"281","Paris 17e Arrondissement",14659,"IDF_DEP_75","ARM","75117",11,"75","751",0,"PARIS 17E ARRONDISSEMENT","Paris 17e Arrondissement","",75056,"11","ok"
"282","Paris 18e Arrondissement",21421,"IDF_DEP_75","ARM","75118",11,"75","751",0,"PARIS 18E ARRONDISSEMENT","Paris 18e Arrondissement","",75056,"11","ok"
"283","Paris 19e Arrondissement",34379,"IDF_DEP_75","ARM","75119",11,"75","751",0,"PARIS 19E ARRONDISSEMENT","Paris 19e Arrondissement","",75056,"11","ok"
"284","Paris 20e Arrondissement",34451,"IDF_DEP_75","ARM","75120",11,"75","751",0,"PARIS 20E ARRONDISSEMENT","Paris 20e Arrondissement","",75056,"11","ok"
"285","Paris 4e Arrondissement",2286,"IDF_DEP_75","ARM","75104",11,"75","751",0,"PARIS 4E ARRONDISSEMENT","Paris 4e Arrondissement","",75056,"11","ok"
"286","Paris 5e Arrondissement",2786,"IDF_DEP_75","ARM","75105",11,"75","751",0,"PARIS 5E ARRONDISSEMENT","Paris 5e Arrondissement","",75056,"11","ok"
"287","Paris 9e Arrondissement",2002,"IDF_DEP_75","ARM","75109",11,"75","751",0,"PARIS 9E ARRONDISSEMENT","Paris 9e Arrondissement","",75056,"11","ok"
"288","Pau",8463,"reg75","COM","64445",75,"64","643",0,"PAU","Pau","6499",NA,"75","ok"
"289","Périgueux",3348,"reg75","COM","24322",75,"24","243",0,"PERIGUEUX","Périgueux","2499",NA,"75","ok"
"290","Perpignan",2232,"reg76","COM","66136",76,"66","662",0,"PERPIGNAN","Perpignan","6699",NA,"76","ok"
"291","Persan",2036,"IDF_DEP_95","COM","95487",11,"95","953",0,"PERSAN","Persan","9514",NA,"11","ok"
"292","Pessac",7012,"reg75","COM","33318",75,"33","332",0,"PESSAC","Pessac","3399",NA,"75","ok"
"293","Plaisir",3145,"IDF_DEP_78","COM","78490",11,"78","784",0,"PLAISIR","Plaisir","7812",NA,"11","ok"
"295","Poissy",5798,"IDF_DEP_78","COM","78498",11,"78","783",0,"POISSY","Poissy","7813",NA,"11","ok"
"296","Pont-Audemer",2034,"reg28","COM","27467",28,"27","272",0,"PONT AUDEMER","Pont-Audemer","2717",NA,"28","ok"
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Pontault-Combault",2848,"IDF_DEP_77","COM","77373",11,"77","775",0,"PONTAULT COMBAULT","Pontault-Combault","7717",NA,"11","ok"
"299","Pontoise",4908,"IDF_DEP_95","COM","95500",11,"95","953",0,"PONTOISE","Pontoise","9516",NA,"11","ok"
"300","Puteaux",6535,"IDF_DEP_92","COM","92062",11,"92","922",0,"PUTEAUX","Puteaux","9213",NA,"11","ok"
"301","Quimper",5603,"reg53","COM","29232",53,"29","294",0,"QUIMPER","Quimper","2999",NA,"53","ok"
"302","Raismes",2018,"reg32","COM","59491",32,"59","596",0,"RAISMES","Raismes","5934",NA,"32","ok"
"303","Rambouillet",2266,"IDF_DEP_78","COM","78517",11,"78","782",0,"RAMBOUILLET","Rambouillet","7814",NA,"11","ok"
"304","Reims",10820,"reg44","COM","51454",44,"51","513",0,"REIMS","Reims","5199",NA,"44","ok"
"305","Rennes",28824,"reg53","COM","35238",53,"35","353",0,"RENNES","Rennes","3598",NA,"53","ok"
"306","Rezé",3885,"reg52","COM","44143",52,"44","442",0,"REZE","Rezé","4497",NA,"52","ok"
"307","Rillieux-la-Pape",6261,"reg84","COM","69286",84,"69","691",0,"RILLIEUX LA PAPE","Rillieux-la-Pape","",NA,"84","ok"
"308","Rive-de-Gier",2046,"reg84","COM","42186",84,"42","423",0,"RIVE DE GIER","Rive-de-Gier","4210",NA,"84","ok"
"309","Roanne",4528,"reg84","COM","42187",84,"42","422",0,"ROANNE","Roanne","4298",NA,"84","ok"
"311","Rochefort",2724,"reg75","COM","17299",75,"17","172",0,"ROCHEFORT","Rochefort","1713",NA,"75","ok"
"312","Romans-sur-Isère",3493,"reg84","COM","26281",84,"26","263",0,"ROMANS SUR ISERE","Romans-sur-Isère","2698",NA,"84","ok"
"313","Romilly-sur-Seine",2196,"reg44","COM","10323",44,"10","102",0,"ROMILLY SUR SEINE","Romilly-sur-Seine","1009",NA,"44","ok"
"314","Roubaix",15268,"reg32","COM","59512",32,"59","595",0,"ROUBAIX","Roubaix","5998",NA,"32","ok"
"315","Rouen",15660,"reg28","COM","76540",28,"76","763",0,"ROUEN","Rouen","7697",NA,"28","ok"
"316","Rueil-Malmaison",8040,"IDF_DEP_92","COM","92063",11,"92","922",0,"RUEIL MALMAISON","Rueil-Malmaison","9222",NA,"11","ok"
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Saint-Brieuc",4772,"reg53","COM","22278",53,"22","224",0,"SAINT BRIEUC","Saint-Brieuc","2299",NA,"53","ok"
"330","Saint-Chamond",5941,"reg84","COM","42207",84,"42","423",0,"SAINT CHAMOND","Saint-Chamond","4213",NA,"84","ok"
"331","Saint-Cloud",2121,"IDF_DEP_92","COM","92064",11,"92","922",0,"SAINT CLOUD","Saint-Cloud","9223",NA,"11","ok"
"332","Saint-Cyr-l'École",2604,"IDF_DEP_78","COM","78545",11,"78","784",0,"SAINT CYR L ECOLE","Saint-Cyr-l'École","7815",NA,"11","ok"
"337","Saint-Étienne",19631,"reg84","COM","42218",84,"42","423",0,"SAINT ETIENNE","Saint-Étienne","4299",NA,"84","ok"
"338","Saint-Étienne-du-Rouvray",5603,"reg28","COM","76575",28,"76","763",0,"SAINT ETIENNE DU ROUVRAY","Saint-Étienne-du-Rouvray","7698",NA,"28","ok"
"339","Saint-Fons",3737,"reg84","COM","69199",84,"69","691",0,"SAINT FONS","Saint-Fons","",NA,"84","ok"
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Saint-Germain-en-Laye",3455,"IDF_DEP_78","COM","78551",11,"78","783",0,"SAINT GERMAIN EN LAYE","Saint-Germain-en-Laye","7816",NA,"11","ok"
"342","Saint-Gratien",2478,"IDF_DEP_95","COM","95555",11,"95","952",0,"SAINT GRATIEN","Saint-Gratien","9501",NA,"11","ok"
"344","Saint-Herblain",5261,"reg52","COM","44162",52,"44","442",0,"SAINT HERBLAIN","Saint-Herblain","4498",NA,"52","ok"
"345","Saint-Jean-de-Braye",2239,"reg24","COM","45284",24,"45","452",0,"SAINT JEAN DE BRAYE","Saint-Jean-de-Braye","4518",NA,"24","ok"
"346","Saint-Jean-de-la-Ruelle",2235,"reg24","COM","45285",24,"45","452",0,"SAINT JEAN DE LA RUELLE","Saint-Jean-de-la-Ruelle","4519",NA,"24","ok"
"351","Saint-Maur-des-Fossés",2821,"IDF_DEP_94","COM","94068",11,"94","942",0,"SAINT MAUR DES FOSSES","Saint-Maur-des-Fossés","9496",NA,"11","ok"
"352","Saint-Médard-en-Jalles",2425,"reg75","COM","33449",75,"33","332",0,"SAINT MEDARD EN JALLES","Saint-Médard-en-Jalles","3328",NA,"75","ok"
"355","Saint-Nazaire",9578,"reg52","COM","44184",52,"44","443",0,"SAINT NAZAIRE","Saint-Nazaire","4499",NA,"52","ok"
"356","Saint-Ouen-l'Aumône",3062,"IDF_DEP_95","COM","95572",11,"95","953",0,"SAINT OUEN L AUMONE","Saint-Ouen-l'Aumône","9517",NA,"11","ok"
"374","Saint-Pierre-des-Corps",3256,"reg24","COM","37233",24,"37","372",0,"SAINT PIERRE DES CORPS","Saint-Pierre-des-Corps","3714",NA,"24","ok"
"375","Saint-Priest",6110,"reg84","COM","69290",84,"69","691",0,"SAINT PRIEST","Saint-Priest","",NA,"84","ok"
"376","Saint-Priest",6110,"reg84","COM","07288",84,"07","072",0,"SAINT PRIEST","Saint-Priest","0710",NA,"84","ok"
"378","Saint-Quentin",2619,"reg32","COM","02691",32,"02","023",0,"SAINT QUENTIN","Saint-Quentin","0298",NA,"32","ok"
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Saintes",2487,"reg75","COM","17415",75,"17","174",0,"SAINTES","Saintes","1720",NA,"75","ok"
"390","Sannois",2761,"IDF_DEP_95","COM","95582",11,"95","951",0,"SANNOIS","Sannois","9501",NA,"11","ok"
"391","Sarcelles",10641,"IDF_DEP_95","COM","95585",11,"95","952",0,"SARCELLES","Sarcelles","9518",NA,"11","ok"
"392","Sartrouville",5418,"IDF_DEP_78","COM","78586",11,"78","783",0,"SARTROUVILLE","Sartrouville","7817",NA,"11","ok"
"393","Saumur",3382,"reg52","COM","49328",52,"49","493",0,"SAUMUR","Saumur","4919",NA,"52","ok"
"394","Savigny-le-Temple",3093,"IDF_DEP_77","COM","77445",11,"77","772",0,"SAVIGNY LE TEMPLE","Savigny-le-Temple","7720",NA,"11","ok"
"395","Sedan",3700,"reg44","COM","08409",44,"08","083",0,"SEDAN","Sedan","0899",NA,"44","ok"
"396","Sens",4524,"reg27","COM","89387",27,"89","893",0,"SENS","Sens","8999",NA,"27","ok"
"397","Sèvres",2378,"IDF_DEP_92","COM","92072",11,"92","923",0,"SEVRES","Sèvres","9205",NA,"11","ok"
"398","Sin-le-Noble",2294,"reg32","COM","59569",32,"59","593",0,"SIN LE NOBLE","Sin-le-Noble","5935",NA,"32","ok"
"399","Soissons",5756,"reg32","COM","02722",32,"02","024",0,"SOISSONS","Soissons","0299",NA,"32","ok"
"400","Sotteville-lès-Rouen",4514,"reg28","COM","76681",28,"76","763",0,"SOTTEVILLE LES ROUEN","Sotteville-lès-Rouen","7699",NA,"28","ok"
"401","Suresnes",7686,"IDF_DEP_92","COM","92073",11,"92","922",0,"SURESNES","Suresnes","9220",NA,"11","ok"
"402","Talence",4844,"reg75","COM","33522",75,"33","332",0,"TALENCE","Talence","3331",NA,"75","ok"
"403","Tergnier",2261,"reg32","COM","02738",32,"02","022",0,"TERGNIER","Tergnier","0218",NA,"32","ok"
"404","Thiais",2407,"IDF_DEP_94","COM","94073",11,"94","943",0,"THIAIS","Thiais","9419",NA,"11","ok"
"405","Thonon-les-Bains",3434,"reg84","COM","74281",84,"74","744",0,"THONON LES BAINS","Thonon-les-Bains","7417",NA,"84","ok"
"407","Torcy",3346,"IDF_DEP_77","COM","77468",11,"77","775",0,"TORCY","Torcy","7722",NA,"11","ok"
"409","Toulouse",46684,"reg76","COM","31555",76,"31","313",0,"TOULOUSE","Toulouse","3199",NA,"76","ok"
"410","Tourcoing",12302,"reg32","COM","59599",32,"59","595",0,"TOURCOING","Tourcoing","5999",NA,"32","ok"
"411","Tours",19928,"reg24","COM","37261",24,"37","372",0,"TOURS","Tours","3799",NA,"24","ok"
"412","Trappes",6845,"IDF_DEP_78","COM","78621",11,"78","784",0,"TRAPPES","Trappes","7818",NA,"11","ok"
"413","Trélazé",2320,"reg52","COM","49353",52,"49","491",0,"TRELAZE","Trélazé","4907",NA,"52","ok"
"414","Troyes",11762,"reg44","COM","10387",44,"10","103",0,"TROYES","Troyes","1099",NA,"44","ok"
"415","Val-de-Reuil",3253,"reg28","COM","27701",28,"27","271",0,"VAL DE REUIL","Val-de-Reuil","2721",NA,"28","ok"
"416","Valenciennes",5805,"reg32","COM","59606",32,"59","596",0,"VALENCIENNES","Valenciennes","5939",NA,"32","ok"
"417","Valenton",3361,"IDF_DEP_94","COM","94074",11,"94","943",0,"VALENTON","Valenton","9421",NA,"11","ok"
"418","Vannes",6274,"reg53","COM","56260",53,"56","563",0,"VANNES","Vannes","5699",NA,"53","ok"
"419","Vanves",3087,"IDF_DEP_92","COM","92075",11,"92","923",0,"VANVES","Vanves","9208",NA,"11","ok"
"420","Vaulx-en-Velin",9719,"reg84","COM","69256",84,"69","691",0,"VAULX EN VELIN","Vaulx-en-Velin","",NA,"84","ok"
"421","Vendôme",2639,"reg24","COM","41269",24,"41","412",0,"VENDOME","Vendôme","4114",NA,"24","ok"
"422","Vénissieux",12394,"reg84","COM","69259",84,"69","691",0,"VENISSIEUX","Vénissieux","",NA,"84","ok"
"425","Vernon",3499,"reg28","COM","27681",28,"27","271",0,"VERNON","Vernon","2723",NA,"28","ok"
"426","Versailles",7292,"IDF_DEP_78","COM","78646",11,"78","784",0,"VERSAILLES","Versailles","7899",NA,"11","ok"
"427","Vichy",2050,"reg84","COM","03310",84,"03","033",0,"VICHY","Vichy","0399",NA,"84","ok"
"428","Vierzon",2090,"reg24","COM","18279",24,"18","183",0,"VIERZON","Vierzon","1899",NA,"24","ok"
"429","Villefranche-sur-Saône",5598,"reg84","COM","69264",84,"69","692",0,"VILLEFRANCHE SUR SAONE","Villefranche-sur-Saône","6913",NA,"84","ok"
"430","Villejuif",9435,"IDF_DEP_94","COM","94076",11,"94","943",0,"VILLEJUIF","Villejuif","9420",NA,"11","ok"
"431","Villenave-d'Ornon",3602,"reg75","COM","33550",75,"33","332",0,"VILLENAVE D ORNON","Villenave-d'Ornon","3333",NA,"75","ok"
"432","Villeneuve-d'Ascq",12157,"reg32","COM","59009",32,"59","595",0,"VILLENEUVE D ASCQ","Villeneuve-d'Ascq","5940",NA,"32","ok"
"433","Villeneuve-la-Garenne",5006,"IDF_DEP_92","COM","92078",11,"92","922",0,"VILLENEUVE LA GARENNE","Villeneuve-la-Garenne","9214",NA,"11","ok"
"434","Villeneuve-Saint-Georges",4783,"IDF_DEP_94","COM","94078",11,"94","943",0,"VILLENEUVE SAINT GEORGES","Villeneuve-Saint-Georges","9497",NA,"11","ok"
"435","Villeurbanne",19507,"reg84","COM","69266",84,"69","691",0,"VILLEURBANNE","Villeurbanne","",NA,"84","ok"
"436","Villiers-le-Bel",5140,"IDF_DEP_95","COM","95680",11,"95","952",0,"VILLIERS LE BEL","Villiers-le-Bel","9521",NA,"11","ok"
"437","Villiers-sur-Marne",3439,"IDF_DEP_94","COM","94079",11,"94","942",0,"VILLIERS SUR MARNE","Villiers-sur-Marne","9422",NA,"11","ok"
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Vincennes",2632,"IDF_DEP_94","COM","94080",11,"94","942",0,"VINCENNES","Vincennes","9498",NA,"11","ok"
"440","Vitry-sur-Seine",13573,"IDF_DEP_94","COM","94081",11,"94","943",0,"VITRY SUR SEINE","Vitry-sur-Seine","9499",NA,"11","ok"
"441","Voiron",2485,"reg84","COM","38563",84,"38","381",0,"VOIRON","Voiron","3829",NA,"84","ok"
"442","Wattrelos",5474,"reg32","COM","59650",32,"59","595",0,"WATTRELOS","Wattrelos","5933",NA,"32","ok"
