"dpt","commune","personnel","emprunt","equipement","etat","pop"
"17","Médis",1.15195942,1.2607,2.30325656,0.41526767,3109
"17","Mérignac",0.05186825,3e-04,0.09210232,0.06715217,233
"17","Meschers-sur-Gironde",2.04351835,0,1.35420673,0.90844065,3225
"17","Messac",0.02092273,0,0.00478347,0.04923785,109
"17","Meursac",0.44802758,0.30206507,0.81605463,0.30384254,1552
"17","Meux",0.03969681,0,0.03733364,0.06961675,336
"17","Migré",0.12473968,0,0.11470492,0.073222,364
"17","Migron",0.00281201,0,0.09618046,0.11585079,717
"17","Mirambeau",0.78649226,7e-04,0.67097417,0.35053262,1551
"17","Moëze",0.13444541,0.185,0.74196567,0.1061299,601
"17","Mons",0.11063579,0.03,0.13979115,0.061656,454
"17","Montendre",1.68383661,0,1.44464061,1.059919,3280
"17","Montguyon",1.07132299,0.0013,0.43740751,0.4661954,1586
"17","Montils",0.17187199,0.00151,0.19462338,0.102106,890
"17","Montlieu-la-Garde",0.70379963,0.2011,0.49965295,0.44351538,1221
"17","Montpellier-de-Médillan",0.15729304,0.00065,0.1216957,0.085074,696
"17","Montroy",0.40580943,0,0.06108055,0.043179,931
"17","Moragne",0.16466687,0.18,0.22192808,0.06205456,546
"17","Mornac-sur-Seudre",0.4025433,0.3,0.38142057,0.15469611,877
"17","Mortagne-sur-Gironde",0.5055921,0.08054223,0.25109737,0.14447338,931
"17","Mortiers",0.04148329,0.00036537,0.01351893,0.0521734,169
"17","Mosnac",0.09340912,6e-04,0.07945066,0.1557521,489
"17","Muron",0.56842677,0.00061796,0.46866897,0.21081016,1376
"17","Nachamps",0.07265245,0,0.01911723,0.044069,200
"17","Nancras",0.16533345,0,0.05933314,0.121881,808
"17","Nantillé",0.08145763,0,0.07651664,0.05430854,341
"17","Néré",0.24221124,0,0.02993392,0.13482046,668
"17","Neuillac",0.04421327,0,0.01509945,0.06603966,308
"17","Neulles",0.03227403,0,0.0064344,0.04169773,160
"17","Neuvicq",0.10062725,0.00153,0.0486272,0.13826159,454
"17","Neuvicq-le-Château",0.10370174,0.001293,0.08308645,0.04669845,337
"17","Nieul-le-Virouil",0.14393479,0.300475,0.75731383,0.14107694,594
"17","Nieul-lès-Saintes",0.2601724,0.00026667,0.17350035,0.20622226,1260
"17","Nieul-sur-Mer",3.00218083,0.79,1.56336007,0.73378409,5874
"17","Nieulle-sur-Seudre",0.51284873,0.24567,0.52157312,0.27014048,1239
"17","Nuaillé-d'Aunis",0.46708453,0.658815,0.64535667,0.205952,1247
"17","Nuaillé-sur-Boutonne",0.05998232,0,0.02144678,0.02905987,196
"17","Orignolles",0.25078536,0.40123,0.73419144,0.12043048,709
"17","Ozillac",0.15863383,0.00118,0.15089284,0.17690009,626
"17","Paillé",0.08850122,0.00109,0.01016549,0.04052208,333
"17","Pérignac",0.36218021,0.00067,0.10933562,0.16561162,994
"17","Périgny",4.78972443,0,2.18766394,0.90896607,8932
"17","Pessines",0.17024805,0,0.23005352,0.09111474,811
"17","Pisany",0.15896011,1.491e-05,0.18151615,0.0776229,800
"17","Plassac",0.20930362,6e-04,0.17122823,0.15278378,661
"17","Plassay",0.24440856,0,0.09686486,0.16167486,801
"17","Polignac",0.02878605,0.00129,0.14565171,0.04820936,163
"17","Pommiers-Moulons",0.05540702,0.00065,0.15532601,0.05886732,216
"17","Pons",3.57167836,0,1.41919837,1.52958754,4506
"17","Pont-l'Abbé-d'Arnoult",0.91170535,0.1809975,0.65333129,0.40974,2079
"17","Port-d'Envaux",0.31152887,0,0.12185138,0.23584256,1179
"17","Port-des-Barques",0.93792879,0.008,0.37298182,0.28975324,1774
