Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
77326;Nandy;0;24330;24;4117
77327;Nangis;0;19890;46;5900
77328;Nanteau-sur-Essonne;0;26870;3;338
77329;Nanteau-sur-Lunain;0;27070;6;450
77330;Nanteuil-lès-Meaux;0;25510;70;4793
77331;Nanteuil-sur-Marne;0;23180;2;315
77332;Nantouillet;0;27340;3;224
77333;Nemours;0;19330;102;9325
77335;Chauconin-Neufmontiers;0;26410;18;2717
77336;Neufmoutiers-en-Brie;0;28040;15;841
77337;Noisiel;0;21110;66;10685
77338;Noisy-Rudignon;0;25640;8;412
77339;Noisy-sur-École;0;33450;11;1411
77340;Nonville;0;27560;10;463
77341;Noyen-sur-Seine;0;24270;6;288
77342;Obsonville;0;21770;1;90
77343;Ocquerre;0;23780;7;272
77344;Oissery;0;26690;17;1611
77345;Orly-sur-Morin;0;23380;13;477
77347;Les Ormes-sur-Voulzie;0;23880;12;675
77348;Ormesson;0;27540;3;191
77349;Othis;0;26870;30;4660
77350;Ozoir-la-Ferrière;0;27270;257;15097
77352;Ozouer-le-Voulgis;0;27940;22;1402
77353;Paley;0;27340;5;374
77354;Pamfou;0;26470;16;682
77355;Paroy;0;26470;3;142
77356;Passy-sur-Seine;0;N/A - secret statistique;0;36
77357;Pécy;0;25300;13;622
77358;Penchard;0;27080;15;904
77359;Perthes;0;29180;26;1578
77360;Pézarches;0;26490;9;289
77361;Pierre-Levée;0;25270;11;336
77363;Le Pin;0;27180;29;1146
77364;Le Plessis-aux-Bois;0;27740;4;172
77365;Le Plessis-Feu-Aussoux;0;28320;6;428
77366;Le Plessis-l'Évêque;0;27000;2;202
77367;Le Plessis-Placy;0;25490;1;202
77368;Poigny;0;23050;8;370
77369;Poincy;0;28610;9;568
77370;Poligny;0;25630;14;641
77371;Pommeuse;0;25660;50;2159
77372;Pomponne;0;27180;33;3020
77373;Pontault-Combault;0;25010;431;27206
77374;Pontcarré;0;28180;19;1536
77376;Précy-sur-Marne;0;27610;8;527
77377;Presles-en-Brie;0;28540;16;1634
77378;Pringy;0;25750;41;2689
77379;Provins;0;19200;74;8702
77380;Puisieux;0;24440;2;228
77381;Quiers;0;26690;14;469
77382;Quincy-Voisins;0;27360;64;3890
77383;Rampillon;0;26110;12;594
77384;Réau;0;25660;13;1641
77385;Rebais;0;21460;20;1656
77386;Recloses;0;30980;6;488
77387;Remauville;0;24580;3;339
77388;Reuil-en-Brie;0;26470;7;615
77389;La Rochette;0;27950;33;2733
77390;Roissy-en-Brie;0;24320;158;15932
77391;Rouilly;0;23140;5;369
77392;Rouvres;0;27510;8;652
77393;Rozay-en-Brie;0;25690;23;2105
77394;Rubelles;0;25420;19;2244
77395;Rumont;0;27070;2;96
77396;Rupéreux;0;24380;1;75
77397;Saâcy-sur-Marne;0;23200;34;1373
77398;Sablonnières;0;23370;14;548
77400;Saint-Augustin;0;27280;23;1378
77401;Sainte-Aulde;0;26320;4;517
77402;Saint-Barthélemy;0;23620;5;255
77403;Saint-Brice;0;25310;7;575
77404;Sainte-Colombe;0;23010;11;1322
77405;Saint-Cyr-sur-Morin;0;25000;21;1410
77406;Saint-Denis-lès-Rebais;0;26590;15;733
77407;Saint-Fargeau-Ponthierry;0;25520;139;10776
77408;Saint-Fiacre;0;27290;3;333
77409;Saint-Germain-Laval;0;23190;25;1990
77410;Saint-Germain-Laxis;0;28770;8;530
77411;Saint-Germain-sous-Doue;0;26290;6;395
77412;Saint-Germain-sur-École;0;27650;6;264
77413;Saint-Germain-sur-Morin;0;28340;44;2744
77414;Saint-Hilliers;0;25320;5;368
77415;Saint-Jean-les-Deux-Jumeaux;0;26810;13;932
77416;Saint-Just-en-Brie;0;26950;3;198
77417;Saint-Léger;0;27050;1;185
77418;Saint-Loup-de-Naud;0;23870;2;634
77419;Saint-Mammès;0;24330;26;2423
77420;Saint-Mard;0;26890;35;2684
77421;Saint-Mars-Vieux-Maisons;0;26010;6;189
77423;Saint-Martin-des-Champs;0;23220;10;508
77424;Saint-Martin-du-Boschet;0;25050;3;202
77425;Saint-Martin-en-Bière;0;32360;12;582
77426;Saint-Méry;0;30090;3;260
77427;Saint-Mesmes;0;28770;10;428
77428;Saint-Ouen-en-Brie;0;27390;6;611
77429;Saint-Ouen-sur-Morin;0;25620;4;393
77430;Saint-Pathus;0;26790;31;4381
77431;Saint-Pierre-lès-Nemours;0;24900;47;4185
77432;Saint-Rémy-de-la-Vanne;0;25570;13;724
77433;Beautheil-Saints;0;26270;24;1545
77434;Saint-Sauveur-lès-Bray;0;24810;5;288
77435;Saint-Sauveur-sur-École;0;33090;14;862
77436;Saint-Siméon;1;26230;10;672
77437;Saint-Soupplets;0;25030;43;2546
77438;Saint-Thibault-des-Vignes;0;26940;68;4837
77439;Salins;0;24010;8;846
77440;Sammeron;0;25210;17;832
77441;Samois-sur-Seine;0;32540;18;1631
77442;Samoreau;0;28840;15;1818
77443;Sancy;0;28020;3;274
77444;Sancy-lès-Provins;0;24330;3;248
77445;Savigny-le-Temple;0;22240;179;19553
77446;Savins;0;24970;2;440
77447;Seine-Port;0;33990;13;1456
77448;Sept-Sorts;0;24130;11;412
