LIBCOM,nb,zone,Code
Châtres,4,reg75,24116
Châtres-sur-Cher,49,reg24,41044
Chatuzange-le-Goubet,17,reg84,26088
Chauché,15,reg52,85064
Chauconin-Neufmontiers,98,IDF_DEP_77,77335
Chaudefonds-sur-Layon,30,reg52,49082
Chaudefontaine,1,reg44,51139
Chaudes-Aigues,19,reg84,15045
Chaudon,6,reg24,28094
Chaufour-Notre-Dame,8,reg52,72073
Chaulnes,168,reg32,80186
Chaumes-en-Brie,50,IDF_DEP_77,77107
Chaumes-en-Retz,72,reg52,44005
Chaumont,1,reg27,89093
Chaumont-en-Vexin,253,reg32,60143
Chaumont-Porcien,12,reg44,08113
Chaumont-sur-Loire,29,reg24,41045
Chaumont-sur-Tharonne,36,reg24,41046
Chaumontel,15,IDF_DEP_95,95149
Chauny,1519,reg32,02173
Chauray,367,reg75,79081
Chauriat,38,reg84,63106
Chaussan,20,reg84,69051
Chaussy,6,IDF_DEP_95,95150
Chauvé,29,reg52,44038
Chauvigné,21,reg53,35075
Chaux,34,reg27,21162
Chaux,34,reg27,90023
Chavagne,280,reg53,35076
Chavagnes-en-Paillers,122,reg52,85065
Chavagnes-les-Redoux,18,reg52,85066
Chavanay,104,reg84,42056
Chavanges,40,reg44,10094
Chaveroche,4,reg75,19053
Chaville,2301,IDF_DEP_92,92022
Chavroches,4,reg84,03071
Chazay-d'Azergues,68,reg84,69052
Chazé-sur-Argos,45,reg52,49089
Chazelles-sur-Lyon,413,reg84,42059
Chazemais,13,reg84,03072
Chécy,290,reg24,45089
Chef-Boutonne,63,reg75,79083
Cheffes,31,reg52,49090
Cheffois,28,reg52,85067
Cheix-en-Retz,8,reg52,44039
Chelles,4888,IDF_DEP_77,77108
Chemazé,21,reg52,53066
Chémeré-le-Roi,7,reg52,53067
Chémery,16,reg24,41049
Chémery-Chéhéry,2,reg44,08115
Chemillé-en-Anjou,1079,reg52,49092
Chemilly,20,reg84,03073
Chemilly-sur-Yonne,9,reg27,89096
Cheminas,20,reg84,07063
Chemiré-le-Gaudin,4,reg52,72075
Chemy,7,reg32,59145
Chénas,11,reg84,69053
Chenay,6,reg75,79084
Chénérailles,38,reg75,23061
Chenereilles,3,reg84,42060
Chenereilles,3,reg84,43069
Chéniers,16,reg75,23062
Chenillé-Champteussé,3,reg52,49067
Chennegy,1,reg44,10096
Chennevières-sur-Marne,1739,IDF_DEP_94,94019
Cheny,298,reg27,89099
Cheptainville,52,IDF_DEP_91,91156
Chépy,139,reg32,80190
Chérancé,6,reg52,53068
Chérancé,6,reg52,72078
Chéraute,22,reg75,64188
Chérence,3,IDF_DEP_95,95157
Chéreng,83,reg32,59146
Cherisy,49,reg24,28098
Chermignac,31,reg75,17102
Chéronvilliers,30,reg28,27156
Chéroy,52,reg27,89100
Cherrueix,41,reg53,35078
Cherveix-Cubas,5,reg75,24120
Cherveux,2,reg75,79086
Chéry-Chartreuve,1,reg32,02179
Chessy,394,IDF_DEP_77,77111
Chessy,35,reg84,69056
Chessy-les-Prés,2,reg44,10099
Chéu,1,reg27,89101
Chevagnes,17,reg84,03074
Chevaigné,87,reg53,35079
Cheval-Blanc,32,reg93,84038
Chevanceaux,29,reg75,17104
Chevannes,157,IDF_DEP_91,91159
Chevannes,42,reg27,89102
Chevannes,42,reg27,21169
Cheverny,2,reg24,41050
Chevillon-sur-Huillard,1,reg24,45092
Chevilly,186,reg24,45093
Chevilly-Larue,3035,IDF_DEP_94,94021
Chevinay,15,reg84,69057
Chevincourt,6,reg32,60147
Chèvremont,25,reg27,90026
Chevreuse,294,IDF_DEP_78,78160
Chèvreville,1,reg32,60148
Chevrières,86,reg32,60149
Chevrières,7,reg84,38099
Chevrières,7,reg84,42062
Chevry-Cossigny,121,IDF_DEP_77,77114
Chey,3,reg75,79087
Cheylade,1,reg84,15049
Chezal-Benoît,32,reg24,18065
Chézy-en-Orxois,1,reg32,02185
Chézy-sur-Marne,24,reg32,02186
Chiché,18,reg75,79088
Chierry,13,reg32,02187
Chignin,17,reg84,73084
Chigny-les-Roses,28,reg44,51152
Chilleurs-aux-Bois,115,reg24,45095
Chilly-Mazarin,1354,IDF_DEP_91,91161
Chindrieux,50,reg84,73085
Chirac-Bellevue,2,reg75,19055
Chiry-Ourscamp,73,reg32,60150
Chitenay,2,reg24,41052
Chitry,4,reg27,89108
Chivy-lès-Étouvelles,39,reg32,02191
Chizé,35,reg75,79090
Choisy-au-Bac,280,reg32,60151
Choisy-le-Roi,6638,IDF_DEP_94,94022
Cholet,5063,reg52,49099
Chomérac,58,reg84,07066
Chouilly,14,reg44,51153
Chuelles,32,reg24,45097
Chuisnes,9,reg24,28099
Chuyer,9,reg84,42064
Ciboure,381,reg75,64189
Cierrey,1,reg28,27158
Cierzac,8,reg75,17106
Cintré,84,reg53,35080
Cires-lès-Mello,287,reg32,60155
Cirières,10,reg75,79091
Ciry-Salsogne,11,reg32,02195
Cissac-Médoc,1,reg75,33125
Citry,1,IDF_DEP_77,77117
Civens,10,reg84,42065
Civrac-de-Blaye,6,reg75,33126
Civray,1,reg24,18066
Civrieux-d'Azergues,66,reg84,69059
Clairac,43,reg75,47065
Clairfayts,9,reg32,59148
Clairoix,122,reg32,60156
Clairvaux-d'Aveyron,7,reg76,12066
Clairvaux-les-Lacs,4,reg27,39154
Clamart,6682,IDF_DEP_92,92023
Clamecy,1,reg32,02198
Clans,26,reg93,06042
Claret,2,reg93,04058
Clary,16,reg32,59149
Clastres,20,reg32,02199
Clasville,15,reg28,76176
Clavé,3,reg75,79092
Claveisolles,11,reg84,69060
Clavette,15,reg75,17109
Clavières,9,reg84,15051
Claville,25,reg28,27161
Claye-Souilly,622,IDF_DEP_77,77118
Clayes,50,reg53,35081
Clécy,19,reg28,14162
Cléden-Cap-Sizun,25,reg53,29028
Cléden-Poher,36,reg53,29029
Cléder,106,reg53,29030
Clef Vallée d'Eure,41,reg28,27191
Cléguer,72,reg53,56040
Cléguérec,37,reg53,56041
Clémont,25,reg24,18067
Cléon,1248,reg28,76178
Cléré-sur-Layon,22,reg52,49102
Clères,123,reg28,76179
Clérey,16,reg44,10100
Clergoux,9,reg75,19056
Clérieux,5,reg84,26096
Clermont,1511,reg32,60157
Clermont-Créans,1,reg52,72084
Clermont-Ferrand,21250,reg84,63113
Clermont-Savès,8,reg76,32105
Cléry,16,reg84,73086
Cléry-Saint-André,32,reg24,45098
Clesles,10,reg44,51155
Clessé,12,reg75,79094
Cleuville,1,reg28,76180
Cléville,1,reg28,76181
Cléville,1,reg28,14163
Clévilliers,21,reg24,28102
Clichy,9970,IDF_DEP_92,92024
Clichy-sous-Bois,3323,IDF_DEP_93,93014
Cliousclat,8,reg84,26097
Clisson,269,reg52,44043
Clohars-Carnoët,118,reg53,29031
Clohars-Fouesnant,49,reg53,29032
Cloyes-les-Trois-Rivières,186,reg24,28103
Clugnat,5,reg75,23064
Clussais-la-Pommeraie,6,reg75,79095
Coadout,11,reg53,22040
Coaraze,2,reg93,06043
Coarraze,79,reg75,64191
Coat-Méal,11,reg53,29035
Coatréven,7,reg53,22042
Cobonne,5,reg84,26098
Cocherel,1,IDF_DEP_77,77120
Cocumont,4,reg75,47068
Coësmes,32,reg53,35082
Coëtmieux,12,reg53,22044
Coëx,91,reg52,85070
Coggia,10,reg94,2A090
Cognat-Lyonne,16,reg84,03080
Cognin,709,reg84,73087
Cogny,45,reg84,69061
Cohennoz,6,reg84,73088
Coignières,378,IDF_DEP_78,78168
Coimères,19,reg75,33130
Coincy,32,reg32,02203
Coise,20,reg84,69062
Coise-Saint-Jean-Pied-Gauthier,20,reg84,73089
Coizard-Joches,1,reg44,51157
Colayrac-Saint-Cirq,109,reg75,47069
Collan,1,reg27,89112
Collégien,293,IDF_DEP_77,77121
Colleret,28,reg32,59151
Colleville,15,reg28,76183
Colleville-Montgomery,133,reg28,14166
Colleville-sur-Mer,7,reg28,14165
Collonges-au-Mont-d'Or,169,reg84,69063
Collonges-la-Rouge,8,reg75,19057
Collorec,29,reg53,29036
Colmars,6,reg93,04061
Cologne,46,reg76,32106
Colomars,33,reg93,06046
Colombelles,1634,reg28,14167
Colombes,11700,IDF_DEP_92,92025
Colombier,4,reg84,42067
Colombier,4,reg84,03081
Colombier-Saugnieu,34,reg84,69299
Colombiers-du-Plessis,3,reg52,53071
Colombiès,14,reg76,12068
Colomby-Anguerny,5,reg28,14014
Colondannes,4,reg75,23065
Colonzelle,12,reg84,26099
Colpo,40,reg53,56042
Coltainville,1,reg24,28104
Coltines,9,reg84,15053
Combles,20,reg32,80204
Comblessac,6,reg53,35084
Combleux,2,reg24,45100
Combourg,248,reg53,35085
Combourtillé,4,reg53,35086
Combovin,5,reg84,26100
Combrand,34,reg75,79096
Combre,6,reg84,42068
Combres,10,reg24,28105
Combrit,87,reg53,29037
Combronde,75,reg84,63116
Combs-la-Ville,1725,IDF_DEP_77,77122
Comines,1308,reg32,59152
Commana,11,reg53,29038
Commelle-Vernay,27,reg84,42069
Commenailles,37,reg27,39160
Commensacq,2,reg75,40085
Commentry,914,reg84,03082
Commeny,6,IDF_DEP_95,95169
Commequiers,64,reg52,85071
Communay,255,reg84,69272
Commune nouvelle d'Arrou,135,reg24,28012
Compans,14,IDF_DEP_77,77123
Compertrix,3,reg44,51160
Compiègne,7028,reg32,60159
Compolibat,5,reg76,12071
Comps-la-Grand-Ville,11,reg76,12073
Conca,30,reg94,2A092
Concarneau,1910,reg53,29039
Concèze,21,reg75,19059
Conches-en-Ouche,657,reg28,27165
Concoret,15,reg53,56043
Concressault,5,reg24,18070
Condat,23,reg84,15054
Condat-en-Combraille,4,reg84,63118
Condat-sur-Ganaveix,2,reg75,19060
Condat-sur-Vézère,32,reg75,24130
Condé-en-Brie,4,reg32,02209
Condé-en-Normandie,742,reg28,14174
Condé-Folie,12,reg32,80205
Condé-lès-Herpy,1,reg44,08126
Condé-sur-Aisne,9,reg32,02210
Condé-sur-Ifs,1,reg28,14173
Condé-sur-l'Escaut,1953,reg32,59153
Condé-sur-Marne,16,reg44,51161
Condé-sur-Sarthe,74,reg28,61117
Condom,389,reg76,32107
Condren,5,reg32,02212
Condrieu,305,reg84,69064
Conflans-Sainte-Honorine,2979,IDF_DEP_78,78172
Conflans-sur-Seine,14,reg44,51162
Confort-Meilars,19,reg53,29145
Congis-sur-Thérouanne,8,IDF_DEP_77,77126
Congrier,71,reg52,53073
Conjux,10,reg84,73091
Conlie,81,reg52,72089
Connantray-Vaurefroy,5,reg44,51164
Connantre,113,reg44,51165
Connerré,173,reg52,72090
Conquereuil,13,reg52,44044
Conques-en-Rouergue,10,reg76,12076
Conques-sur-Orbiel,44,reg76,11099
Conségudes,8,reg93,06047
Contes,163,reg93,06048
Contest,3,reg52,53074
Conteville,82,reg28,27169
Conteville,82,reg28,76186
Contres,163,reg24,18071
Conty,92,reg32,80211
Coole,2,reg44,51167
Coquainvilliers,25,reg28,14177
Coray,73,reg53,29041
Corbas,545,reg84,69273
Corbeil-Cerf,1,reg32,60162
Corbeil-Essonnes,6257,IDF_DEP_91,91174
Corbeilles,149,reg24,45103
Corbeny,28,reg32,02215
Corbie,647,reg32,80212
Corbreuse,59,IDF_DEP_91,91175
Corcelles-en-Beaujolais,12,reg84,69065
Corcoué-sur-Logne,22,reg52,44156
Corcy,2,reg32,02216
Cordelle,15,reg84,42070
Cordemais,72,reg52,44045
Cordes-sur-Ciel,42,reg76,81069
Coren,2,reg84,15055
Corent,4,reg84,63120
Corgnac-sur-l'Isle,10,reg75,24134
Corlay,24,reg53,22047
Cormeilles,60,reg28,27170
Cormeilles,10,reg32,60163
Cormeilles-en-Parisis,1601,IDF_DEP_95,95176
Cormelles-le-Royal,446,reg28,14181
Cormenon,55,reg24,41060
Cormes,6,reg52,72093
Cormicy,43,reg44,51171
Cormolain,14,reg28,14182
Cormontreuil,687,reg44,51172
Cornant,4,reg27,89116
Cornas,43,reg84,07070
Cornay,2,reg44,08131
Corneville-sur-Risle,15,reg28,27174
Cornil,23,reg75,19061
Cornillé,28,reg53,35087
Cornillé-les-Caves,9,reg52,49107
Cornillon-Confoux,6,reg93,13029
Cornod,3,reg27,39166
Cornus,3,reg76,12077
Cornusse,12,reg24,18072
Coron,42,reg52,49109
Corps-Nuds,169,reg53,35088
Corquilleroy,34,reg24,45104
Corrèze,30,reg75,19062
Corsept,36,reg52,44046
Corseul,41,reg53,22048
Corte,373,reg94,2B096
Corzé,72,reg52,49110
Cosmes,1,reg52,53075
Cosnac,34,reg75,19063
Cosne-d'Allier,147,reg84,03084
Cossé-en-Champagne,4,reg52,53076
Cossé-le-Vivien,112,reg52,53077
Coteaux-sur-Loire,65,reg24,37232
Coteaux du Lizon,149,reg27,39491
Cottance,6,reg84,42073
Coubert,61,IDF_DEP_77,77127
Coubron,85,IDF_DEP_93,93015
Coucouron,33,reg84,07071
Coucy-le-Château-Auffrique,38,reg32,02217
Coucy-lès-Eppes,18,reg32,02218
Coudekerque-Branche,2890,reg32,59155
Coudes,48,reg84,63121
Coudray,36,reg52,53078
Coudray-au-Perche,5,reg24,28111
Coudrecieux,15,reg52,72094
Coudroy,8,reg24,45107
Coudun,45,reg32,60166
Couëron,1491,reg52,44047
Couëtron-au-Perche,9,reg24,41248
Couffé,22,reg52,44048
Couffoulens,5,reg76,11102
Couffy,6,reg24,41063
Coufouleux,34,reg76,81070
Couiza,63,reg76,11103
Coulaines,1545,reg52,72095
Coulandon,2,reg84,03085
Coulangeron,2,reg27,89117
Coulanges,14,reg84,03086
Coulanges-la-Vineuse,13,reg27,89118
Coulanges-sur-Yonne,15,reg27,89119
Coulans-sur-Gée,19,reg52,72096
Coulaures,8,reg75,24137
Couleuvre,14,reg84,03087
Coullons,161,reg24,45108
Coulmiers,2,reg24,45109
Couloisy,8,reg32,60167
Coulombs,1,reg24,28113
Coulommiers,2273,IDF_DEP_77,77131
Coulommiers-la-Tour,14,reg24,41065
Coulon,89,reg75,79100
Coulongé,9,reg52,72098
Coulonges,4,reg75,17122
Coulonges,4,reg75,86084
Coulonges,4,reg75,16108
Coulonges-sur-l'Autize,37,reg75,79101
Coulonges-sur-Sarthe,45,reg28,61126
Coulonges-Thouarsais,1,reg75,79102
Coulonvillers,2,reg32,80215
Coulounieix-Chamiers,963,reg75,24138
Coupiac,21,reg76,12080
Coupvray,50,IDF_DEP_77,77132
Cour-Cheverny,40,reg24,41067
Courbépine,1,reg28,27179
Courbeveille,6,reg52,53082
Courbevoie,9535,IDF_DEP_92,92026
Courbouzon,8,reg24,41066
Courcelles-Epayelles,8,reg32,60168
Courcelles-la-Forêt,5,reg52,72100
Courcelles-lès-Gisors,1,reg32,60169
Courcelles-sur-Seine,43,reg28,27180
Courcemont,6,reg52,72101
Courchelettes,215,reg32,59156
Courchevel,386,reg84,73227
Courçon,36,reg75,17127
Courcy,68,reg44,51183
Courdemanche,21,reg52,72103
Courdimanche,615,IDF_DEP_95,95183
Courgains,16,reg52,72104
Courgeon,17,reg28,61129
Courlans,45,reg27,39170
Courlaoux,16,reg27,39171
Courlay,31,reg75,79103
Courmelles,82,reg32,02226
Courmemin,35,reg24,41068
Cournon,7,reg53,56044
Cournon-d'Auvergne,1967,reg84,63124
Courpière,240,reg84,63125
Courpignac,3,reg75,17129
Cours,256,reg84,69066
Cours,3,reg75,79104
Cours,3,reg75,47073
Cours-les-Barres,26,reg24,18075
Coursac,29,reg75,24139
Coursan,157,reg76,11106
Coursegoules,14,reg93,06050
Courseulles-sur-Mer,188,reg28,14191
Courson-les-Carrières,50,reg27,89125
Courtefontaine,10,reg27,39172
Courtefontaine,10,reg27,25174
Courtemont-Varennes,10,reg32,02228
Courtenay,251,reg24,45115
Courtenot,1,reg44,10109
Courteranges,6,reg44,10110
Courtes,2,reg84,01128
Courteuil,8,reg32,60170
Courthézon,188,reg93,84039
Courtillers,5,reg52,72106
Courtisols,77,reg44,51193
Courtois-sur-Yonne,2,reg27,89127
Courtomer,26,reg28,61133
Courtonne-les-Deux-Églises,1,reg28,14194
Courtry,279,IDF_DEP_77,77139
Courville,1,reg44,51194
Courville-sur-Eure,287,reg24,28116
Courzieu,30,reg84,69067
Cousance,84,reg27,39173
Cousolre,73,reg32,59157
Coussegrey,5,reg44,10112
Coust,14,reg24,18076
Coutiches,54,reg32,59158
Coutouvre,17,reg84,42074
Coutras,372,reg75,33138
Coutures,2,reg75,24141
Coutures,2,reg75,33139
Couvron-et-Aumencourt,113,reg32,02231
Couvrot,2,reg44,51195
Coux,14,reg84,07072
Coux et Bigaroque-Mouzens,5,reg75,24142
Couze-et-Saint-Front,48,reg75,24143
Couzon,6,reg84,03090
Couzon-au-Mont-d'Or,112,reg84,69068
Coye-la-Forêt,239,reg32,60172
Cozes,5,reg75,17131
Cozzano,11,reg94,2A099
Crach,41,reg53,56046
Crain,6,reg27,89129
Craintilleux,10,reg84,42075
Cramans,17,reg27,39176
Cramant,17,reg44,51196
Cramchaban,6,reg75,17132
Cramoisy,25,reg32,60173
Crancey,83,reg44,10114
Crandelles,19,reg84,15056
Cransac,70,reg76,12083
Craon,172,reg52,53084
Craponne,696,reg84,69069
Crastes,7,reg76,32112
Crasville-la-Rocquefort,15,reg28,76190
Cravanche,242,reg27,90029
Craywick,74,reg32,59159
Créchy,4,reg84,03091
Crécy-au-Mont,2,reg32,02236
Crécy-en-Ponthieu,36,reg32,80222
Crécy-la-Chapelle,92,IDF_DEP_77,77142
Crécy-sur-Serre,93,reg32,02237
Crédin,28,reg53,56047
Crégy-lès-Meaux,468,IDF_DEP_77,77143
Créhen,15,reg53,22049
Creil,7443,reg32,60175
Creissels,38,reg76,12084
Cremeaux,12,reg84,42076
Creney-près-Troyes,13,reg44,10115
Créon,286,reg75,33140
Créon-d'Armagnac,5,reg75,40087
Crépol,37,reg84,26107
Crépon,2,reg28,14196
Crépy,53,reg32,62256
Crépy,53,reg32,02238
Crépy-en-Valois,1389,reg32,60176
Crespin,400,reg32,59160
Cresserons,33,reg28,14197
Crest,658,reg84,26108
Crest-Voland,16,reg84,73094
Créteil,14625,IDF_DEP_94,94028
Creully sur Seulles,113,reg28,14200
Creuzier-le-Neuf,24,reg84,03093
Creuzier-le-Vieux,74,reg84,03094
Crevant-Laveine,3,reg84,63128
Crevin,79,reg53,35090
Creysse,140,reg75,24145
Crézancy,95,reg32,02239
Criel-sur-Mer,30,reg28,76192
Criquebeuf-sur-Seine,6,reg28,27188
Criquetot-l'Esneval,97,reg28,76196
Criquetot-le-Mauconduit,3,reg28,76195
Criquetot-sur-Longueville,2,reg28,76197
Criquetot-sur-Ouville,21,reg28,76198
Criquiers,12,reg28,76199
Crisolles,20,reg32,60181
Critot,2,reg28,76200
Crocq,44,reg75,23069
Croissy-Beaubourg,80,IDF_DEP_77,77146
Croissy-sur-Seine,738,IDF_DEP_78,78190
Croisy-sur-Andelle,30,reg28,76201
Croix,1971,reg32,59163
Croix-Chapeau,11,reg75,17136
Croix-Mare,11,reg28,76203
Croixanvec,2,reg53,56049
Croizet-sur-Gand,19,reg84,42077
Cropus,1,reg28,76204
Cros-de-Géorand,6,reg84,07075
Cros-de-Montvert,1,reg84,15057
Crosmières,12,reg52,72110
Crosne,544,IDF_DEP_91,91191
Crossac,9,reg52,44050
Crosses,6,reg24,18081
Crotenay,2,reg27,39183
Croth,22,reg28,27193
Crouy,286,reg32,02243
Crouy-sur-Cosson,34,reg24,41071
Croze,3,reg75,23071
Crozes-Hermitage,10,reg84,26110
Crozon,325,reg53,29042
Cruas,206,reg84,07076
Crucheray,4,reg24,41072
Cruet,16,reg84,73096
Cruguel,11,reg53,56051
Cruis,6,reg93,04065
Crulai,10,reg28,61140
Cruzy-le-Châtel,4,reg27,89131
Cry,2,reg27,89132
Cublac,10,reg75,19066
Cublize,36,reg84,69070
Cubnezais,2,reg75,33142
Cubzac-les-Ponts,75,reg75,33143
Cuchery,3,reg44,51199
Cucuron,16,reg93,84042
Cudos,24,reg75,33144
Cudot,1,reg27,89133
Cuébris,13,reg93,06052
Cuffies,396,reg32,02245
Cuffy,26,reg24,18082
Cugand,42,reg52,85076
Cuges-les-Pins,76,reg93,13030
Cuguen,25,reg53,35092
Cuillé,19,reg52,53088
Cuincy,579,reg32,59165
Cuinzier,10,reg84,42079
Cuise-la-Motte,205,reg32,60188
Cuisy-en-Almont,2,reg32,02253
Culan,52,reg24,18083
Culey-le-Patry,2,reg28,14211
Cunlhat,58,reg84,63132
Cuq-Toulza,9,reg76,81076
Curemonte,4,reg75,19067
Curgies,44,reg32,59166
Curienne,28,reg84,73097
Curis-au-Mont-d'Or,25,reg84,69071
Curzon,14,reg52,85077
Cussac-Fort-Médoc,28,reg75,33146
Cusset,1420,reg84,03095
Cuts,9,reg32,60189
Cuttoli-Corticchiato,19,reg94,2A103
Cuverville,216,reg28,14215
Cuverville,216,reg28,27194
Cuverville,216,reg28,76206
Cuverville-sur-Yères,2,reg28,76207
Cuvier,2,reg27,39187
Cuvilly,14,reg32,60191
Cuxac-Cabardès,35,reg76,11115
Cuxac-d'Aude,76,reg76,11116
Cuy,28,reg27,89136
Cuzieu,10,reg84,42081
Cuzieu,10,reg84,01141
Cuzorn,4,reg75,47077
Cysoing,200,reg32,59168
Dadonville,46,reg24,45119
Daglan,20,reg75,24150
Dagny-Lambercy,9,reg32,02256
Daméraucourt,2,reg32,60193
Damery,3,reg44,51204
Damgan,24,reg53,56052
Damigny,133,reg28,61143
Dammarie,23,reg24,28122
Dammarie-en-Puisaye,3,reg24,45120
Dammarie-les-Lys,3403,IDF_DEP_77,77152
Dammarie-sur-Loing,15,reg24,45121
Dammartin-en-Goële,334,IDF_DEP_77,77153
Dammartin-en-Serve,57,IDF_DEP_78,78192
Damousies,3,reg32,59169
Damparis,186,reg27,39189
Dampierre,32,reg27,39190
Dampierre-en-Bray,2,reg28,76209
Dampierre-en-Burly,68,reg24,45122
Dampierre-en-Crot,4,reg24,18084
Dampierre-en-Graçay,4,reg24,18085
Dampierre-en-Yvelines,16,IDF_DEP_78,78193
Dampierre-Saint-Nicolas,7,reg28,76210
Dampierre-sous-Brou,1,reg24,28123
Dampmart,134,IDF_DEP_77,77155
Dampniat,8,reg75,19068
Damvix,13,reg52,85078
Dangeau,13,reg24,28127
Dangers,17,reg24,28128
Dangeul,3,reg52,72112
Danizy,37,reg32,02260
Danjoutin,293,reg27,90032
Dannemoine,2,reg27,89137
Danzé,32,reg24,41073
Daon,3,reg52,53089
Daoulas,25,reg53,29043
Daours,28,reg32,80234
Darbres,2,reg84,07077
Dardilly,513,reg84,69072
Dargnies,85,reg32,80235
Dargoire,4,reg84,42083
Darnétal,1949,reg28,76212
Darnets,4,reg75,19070
Darvault,3,IDF_DEP_77,77156
Darvoy,8,reg24,45123
Dauphin,6,reg93,04068
Davayat,14,reg84,63135
Davézieux,136,reg84,07078
Davignac,2,reg75,19071
Davrey,19,reg44,10122
Dax,2094,reg75,40088
Deauville,538,reg28,14220
Débats-Rivière-d'Orpra,4,reg84,42084
Decazeville,856,reg76,12089
Dechy,885,reg32,59170
Décines-Charpieu,2764,reg84,69275
Degré,4,reg52,72113
Delle,880,reg27,90033
Démouville,312,reg28,14221
Dému,2,reg76,32115
Denain,2635,reg32,59172
Denazé,4,reg52,53090
Denée,45,reg52,49120
Deneuille-les-Mines,7,reg84,03097
Dénezé-sous-Doué,12,reg52,49121
Denguin,5,reg75,64198
Denicé,40,reg84,69074
Denney,10,reg27,90034
Denonville,8,reg24,28129
Derval,64,reg52,44051
Désaignes,32,reg84,07079
Descartes,236,reg24,37115
Désertines,200,reg84,03098
Désertines,3,reg52,53091
Desnes,8,reg27,39194
Deuil-la-Barre,1429,IDF_DEP_95,95197
Deûlémont,94,reg32,59173
Deux-Chaises,15,reg84,03099
Deux Rivières,20,reg27,89130
Devesset,6,reg84,07080
Deville,67,reg44,08139
Déville-lès-Rouen,1727,reg28,76216
Dhuizon,30,reg24,41074
Dialan sur Chaîne,7,reg28,14347
Die,211,reg84,26113
Dienville,71,reg44,10123
Dieppe,5674,reg28,76217
Dierrey-Saint-Pierre,3,reg44,10125
Dieudonné,15,reg32,60197
Dieulefit,150,reg84,26114
Digne-les-Bains,1903,reg93,04070
Digny,13,reg24,28130
Dinan,1676,reg53,22050
Dinard,1029,reg53,35093
Dinéault,41,reg53,29044
Dingé,34,reg53,35094
Diou,52,reg84,03100
Dirinon,31,reg53,29045
Dissangis,2,reg27,89141
Dissay-sous-Courcillon,11,reg52,72115
Distré,36,reg52,49123
Divajeu,20,reg84,26115
Divatte-sur-Loire,124,reg52,44029
Dives,2,reg32,60198
Dives-sur-Mer,943,reg28,14225
Dizy,124,reg44,51210
Dizy-le-Gros,15,reg32,02264
Doazit,20,reg75,40089
Doix lès Fontaines,30,reg52,85080
Doizieux,15,reg84,42085
Dol-de-Bretagne,415,reg53,35095
Dole,3305,reg27,39198
Dollon,26,reg52,72118
Dollot,1,reg27,89143
Dolus-d'Oléron,71,reg75,17140
Dom-le-Mesnil,4,reg44,08140
Domagné,64,reg53,35096
Domaize,5,reg84,63136
Domalain,59,reg53,35097
Domart-en-Ponthieu,11,reg32,80241
Domats,21,reg27,89144
Domblans,65,reg27,39199
Doméliers,1,reg32,60199
Domérat,409,reg84,03101
Domessin,30,reg84,73100
Domezain-Berraute,1,reg75,64202
Domfront en Poiraie,366,reg28,61145
Domloup,104,reg53,35099
Dommartin,22,reg84,69076
Domme,30,reg75,24152
Dommiers,1,reg32,02267
Domont,1086,IDF_DEP_95,95199
Dompierre,12,reg28,61146
Dompierre,2,reg32,60201
Dompierre-Becquincourt,12,reg32,80247
Dompierre-sur-Besbre,350,reg84,03102
Dompierre-sur-Charente,13,reg75,17141
Dompierre-sur-Helpe,12,reg32,59177
Dompierre-sur-Mer,116,reg75,17142
Dompierre-sur-Yon,91,reg52,85081
Don,88,reg32,59670
Donchery,266,reg44,08142
Donges,424,reg52,44052
Donnay,3,reg28,14226
Donnemain-Saint-Mamès,3,reg24,28132
Donnemarie-Dontilly,99,IDF_DEP_77,77159
Donnery,72,reg24,45126
Dontreix,4,reg75,23073
Donzacq,6,reg75,40090
Donzenac,56,reg75,19072
Donzère,444,reg84,26116
Dorans,12,reg27,90035
Dorat,3,reg84,63138
Dordives,64,reg24,45127
Dormans,209,reg44,51217
Dornas,4,reg84,07082
Douai,7206,reg32,59178
Douarnenez,1496,reg53,29046
Douchapt,2,reg75,24154
Douchy-les-Mines,1693,reg32,59179
Douchy-Montcorbon,79,reg24,45129
Doucier,8,reg27,39201
Doudeville,228,reg28,76219
Doué-en-Anjou,647,reg52,49125
Doullens,630,reg32,80253
Dourdain,33,reg53,35101
Dourdan,1345,IDF_DEP_91,91200
Dourgne,17,reg76,81081
Douville-sur-Andelle,27,reg28,27205
Douvrend,6,reg28,76220
Douvres-la-Délivrande,350,reg28,14228
Douzillac,21,reg75,24157
Douzy,210,reg44,08145
Doyet,18,reg84,03104
Dozulé,191,reg28,14229
Drancy,8410,IDF_DEP_93,93029
Drap,332,reg93,06054
Draveil,3210,IDF_DEP_91,91201
Drefféac,43,reg52,44053
Dreuil-lès-Amiens,32,reg32,80256
Dreux,4652,reg24,28134
Drevant,20,reg24,18086
Drincham,13,reg32,59182
Drocourt,12,IDF_DEP_78,78202
Droué,98,reg24,41075
Droue-sur-Drouette,18,reg24,28135
Drouges,8,reg53,35102
Droupt-Saint-Basle,9,reg44,10131
Druelle Balsac,17,reg76,12090
Drugeac,6,reg84,15063
Drulhe,12,reg76,12091
Drumettaz-Clarafond,82,reg84,73103
Druyes-les-Belles-Fontaines,1,reg27,89148
Dry,10,reg24,45130
Duclair,394,reg28,76222
Duerne,23,reg84,69078
Dugny,2865,IDF_DEP_93,93030
Duhort-Bachen,4,reg75,40091
Dun,9,reg76,09107
