Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
58;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;2;Oui;Non;Non;3;Non;45059;Bucy-Saint-Liphard;Commune;214500597;45059;BUCY-SAINT-LIPHARD;Epargne nette;-116312.59;0.0;0.0;-116312.59;-0.11631259;203;-572.9684236453202;1;;;;;;;;;2;;2024;203
59;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;3;Oui;Non;Non;2;Non;45060;La Bussière;Commune;214500605;45060;BUSSIERE LA;Epargne nette;24747.24;0.0;0.0;24747.24;0.02474724;788;31.405126903553302;1;;;;;;;;;2;;2024;788
60;Non;24;Centre-Val de Loire;45;Loiret;244500203;Communauté d'agglomération Montargoise et Rives du Loing (AME);4;Non;Non;Non;2;Non;45061;Cepoy;Commune;214500613;45061;CEPOY;Epargne nette;314651.179999999;0.0;0.0;314651.179999999;0.31465117999999903;2431;129.43281777046442;1;;;;;;;;;2;;2024;2431
61;Non;24;Centre-Val de Loire;45;Loiret;200035764;Communauté de communes de la Beauce Loirétaine;3;Oui;Non;Non;2;Non;45062;Cercottes;Commune;214500621;45062;CERCOTTES;Epargne nette;213264.39;0.0;0.0;213264.39;0.21326439000000003;1529;139.47965336821454;1;;;;;;;;;2;;2024;1529
62;Non;24;Centre-Val de Loire;45;Loiret;200070100;Communauté de communes du Val de Sully;3;Oui;Non;Non;2;Non;45063;Cerdon;Commune;214500639;45063;CERDON;Epargne nette;17009.0600000001;50482.33;0.0;67491.3900000001;0.0674913900000001;922;73.20107375271161;1;;;;;;;;;2;;2024;922
63;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;2;Oui;Non;Non;1;Non;45064;Cernoy-en-Berry;Commune;214500647;45064;CERNOY-EN-BERRY;Epargne nette;-14293.3;0.0;0.0;-14293.3;-0.0142933;440;-32.48477272727273;1;;;;;;;;;2;;2024;440
64;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;2;Oui;Non;Non;2;Non;45065;Césarville-Dossainville;Commune;214500654;45065;CESARVILLE-DOSSAINVILLE;Epargne nette;36950.42;0.0;0.0;36950.42;0.03695042;222;166.44333333333333;1;;;;;;;;;2;;2024;222
65;Non;24;Centre-Val de Loire;45;Loiret;200067676;Communauté de communes Canaux et Forêts en Gâtinais;3;Oui;Non;Non;1;Non;45066;Chailly-en-Gâtinais;Commune;214500662;45066;CHAILLY-EN-GATINAIS;Epargne nette;75981.6199999999;6928.44;0.0;82910.0599999999;0.0829100599999999;692;119.81222543352587;1;;;;;;;;;2;;2024;692
66;Non;24;Centre-Val de Loire;45;Loiret;200070183;Communauté de communes des Terres du Val de Loire;5;Non;Non;Non;2;Non;45067;Chaingy;Commune;214500670;45067;CHAINGY;Epargne nette;627698.580000001;60968.46;0.0;688667.040000001;0.688667040000001;4160;165.54496153846176;1;;;;;;;;;2;;2024;4160
67;Non;24;Centre-Val de Loire;45;Loiret;244500203;Communauté d'agglomération Montargoise et Rives du Loing (AME);7;Non;Non;Non;1;Oui;45068;Châlette-sur-Loing;Commune;214500688;45068;CHALETTE-SUR-LOING;Epargne nette;2587640.08;0.0;0.0;2587640.08;2.58764008;12954;199.7560660799753;1;;;;;;;;;2;;2024;12954
