Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
78006;Adainville;39
78007;Aigremont;15
78009;Allainville;12
78010;Les Alluets-le-Roi;14
78013;Andelu;7
78015;Andrésy;398
78020;Arnouville-lès-Mantes;22
78029;Aubergenville;184
78030;Auffargis;46
78031;Auffreville-Brasseuil;17
78033;Aulnay-sur-Mauldre;42
78034;Auteuil;17
78036;Autouillet;13
78043;Bailly;93
78048;Bazainville;38
78049;Bazemont;33
78050;Bazoches-sur-Guyonne;19
78053;Béhoust;17
78057;Bennecourt;67
78062;Beynes;180
78068;Blaru;24
78070;Boinville-en-Mantois;12
78071;Boinville-le-Gaillard;22
78072;Boinvilliers;8
78073;Bois-d'Arcy;344
78076;Boissets;8
78077;La Boissière-École;32
78082;Boissy-Mauvoisin;13
78084;Boissy-sans-Avoir;19
78087;Bonnelles;42
78089;Bonnières-sur-Seine;222
78090;Bouafle;66
78092;Bougival;347
78096;Bourdonné;20
78104;Breuil-Bois-Robert;19
78107;Bréval;64
78108;Les Bréviaires;70
78113;Brueil-en-Vexin;22
78117;Buc;123
78118;Buchelay;47
78120;Bullion;36
78123;Carrières-sous-Poissy;509
78124;Carrières-sur-Seine;329
78125;La Celle-les-Bordes;21
78126;La Celle-Saint-Cloud;563
78128;Cernay-la-Ville;52
78133;Chambourcy;184
78138;Chanteloup-les-Vignes;174
78140;Chapet;17
78143;Châteaufort;41
78146;Chatou;1055
78147;Chaufour-lès-Bonnières;16
78152;Chavenay;44
78158;Le Chesnay-Rocquencourt;1124
78160;Chevreuse;230
78162;Choisel;23
78163;Civry-la-Forêt;9
78164;Clairefontaine-en-Yvelines;27
78165;Les Clayes-sous-Bois;321
78168;Coignières;100
78171;Condé-sur-Vesgre;26
78172;Conflans-Sainte-Honorine;962
78185;Courgent;5
78188;Cravent;15
78189;Crespières;51
78190;Croissy-sur-Seine;291
78192;Dammartin-en-Serve;26
78193;Dampierre-en-Yvelines;39
78194;Dannemarie;6
78196;Davron;11
78202;Drocourt;9
78206;Ecquevilly;144
78208;Élancourt;606
78209;Émancé;31
78217;Épône;179
78220;Les Essarts-le-Roi;153
78224;L'Étang-la-Ville;154
78227;Évecquemont;23
78230;La Falaise;21
78231;Favrieux;1
78233;Feucherolles;55
78234;Flacourt;0
78236;Flexanville;12
78237;Flins-Neuve-Église;2
78238;Flins-sur-Seine;91
78239;Follainville-Dennemont;87
78242;Fontenay-le-Fleury;499
78245;Fontenay-Mauvoisin;1
78246;Fontenay-Saint-Père;44
78255;Freneuse;116
78261;Gaillon-sur-Montcient;16
78262;Galluis;38
78263;Gambais;52
78264;Gambaiseuil;2
78265;Garancières;48
78267;Gargenville;216
78269;Gazeran;34
78276;Gommecourt;19
78278;Goupillières;7
78281;Goussonville;38
78283;Grandchamp;11
78285;Gressey;11
78289;Grosrouvre;44
78290;Guernes;35
78291;Guerville;73
78296;Guitrancourt;19
78297;Guyancourt;540
78299;Hardricourt;123
78300;Hargeville;15
78302;La Hauteville;13
78305;Herbeville;10
78307;Hermeray;58
78310;Houdan;280
78311;Houilles;888
78314;Issou;79
78317;Jambville;25
78320;Notre-Dame-de-la-Mer;19
78321;Jouars-Pontchartrain;168
78322;Jouy-en-Josas;146
78324;Jouy-Mauvoisin;4
78325;Jumeauville;30
78327;Juziers;115
78329;Lainville-en-Vexin;10
78334;Lévis-Saint-Nom;32
78335;Limay;459
78337;Limetz-Villez;49
78343;Les Loges-en-Josas;42
78344;Lommoye;15
78346;Longnes;55
78349;Longvilliers;14
78350;Louveciennes;475
78354;Magnanville;80
78356;Magny-les-Hameaux;105
78358;Maisons-Laffitte;940
78361;Mantes-la-Jolie;911
78362;Mantes-la-Ville;550
78364;Marcq;19
78366;Mareil-le-Guyon;15
78367;Mareil-Marly;76
78368;Mareil-sur-Mauldre;46
78372;Marly-le-Roi;508
78380;Maule;193
78381;Maulette;22
78382;Maurecourt;83
78383;Maurepas;515
78384;Médan;46
78385;Ménerville;6
78389;Méré;43
78391;Méricourt;13
78396;Le Mesnil-le-Roi;137
78397;Le Mesnil-Saint-Denis;152
78398;Les Mesnuls;32
