"","NBPIECE","FINAN","REG","LIBREG","DEP","LIBDEP","EPCI","LIBEPCI","DROIT","DEPCOM","CODEPOSTAL","LIBCOM","NUMVOIE","INDREP","TYPVOIE","NOMVOIE","NUMAPPT","NUMBOITE","ESC","COULOIR","ETAGE","COMPLIDENT","ENTREE","BAT","IMMEU","COMPLGEO","LIEUDIT","QPV","TYPECONST","SURFHAB","CONSTRUCT","LOCAT","PATRIMOINE","ORIGINE","FINANAUTRE","CONV","NUMCONV","DATCONV","NEWLOGT","CUS","DPEDATE","DPEENERGIE","DPESERRE","SRU_EXPIR","SRU_ALINEA","CODSEGPATRIM","LIBSEGPATRIM","PMR","PLG_CODE_COMMUNE2021","PLG_VOIE","EPSG","X","Y","PLG_QP","PLG_IRIS2021","PLG_ZUS","PLG_ZFU","PLG_QVA","QUALITE_VOIE","QUALITE_NUMERO","QUALITE_XY","DISTANCE_PRECISION","QUALITE_QP","QUALITE_IRIS","QUALITE_ZUS","QUALITE_ZFU","QUALITE_QVA","MILLESIME","COMAQP","COMAZUS","COMRIL","EPCI_2021","UU2020","AAV2020","ZE2020","FINANcode","taille"
"83097",4,"13",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","2","","RUE","RUE JUSSIEU","76",NA,"01",NA,4,"","","BATIMENT 5","","SARTROUVILLE - JUSSIEU","",2,"C",83,1983,"1990","1990","1","13",1,"78/1/061983/79-444/1/075047/210","11/03/2015",NA,13,"12/2014","C","D",2031,1,"7021","SARTROUVILLE - JUSSIEU",1,78586,"RUE JUSSIEU",2154,640209.68,6871714.29,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83128",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","7","","RUE","RUE JACQUELINE  DE ROMILLY","70",NA,"04",NA,2,"","","BATIMENT A","","SARTROUVILLE - UNION","",2,"C",64,1960,"1960","1960","1","52",1,"78/1/031984/79-444/1/075047/229","11/03/2015",NA,13,"07/2009","C","D",2031,1,"7016","SARTROUVILLE - UNION",1,78586,"RUE JACQUELINE DE ROMILLY",2154,640070.82,6871845.05,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83161",4,"13",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","12","","RUE","RUE JUSSIEU","5",NA,"01",NA,1,"","","BATIMENT 1","","SARTROUVILLE - JUSSIEU","",2,"C",84,1983,"1990","1990","1","13",1,"78/1/061983/79-444/1/075047/210","11/03/2015",NA,13,"12/2014","C","D",2031,1,"7021","SARTROUVILLE - JUSSIEU",1,78586,"RUE JUSSIEU",2154,640297.61,6871683.6,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83212",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","71","","BOULEVARD","BOULEVARD DE BEZONS","1",NA,"01",NA,1,"","",".","","SARTROUVILLE - CENTRE CIAL","",2,"C",54,1964,"1964","1964","1","52",1,"781031992/85-1231/1/075047/793","20/02/2013",NA,13,"12/2009","D","D",2030,1,"7019","SARTROUVILLE - CENTRE CIAL",1,78586,"BD DE BEZONS",2154,640021.78,6871753.58,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83255",4,"54",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","11","","RUE","RUE DE LA LIBERTE","",NA,"A",NA,2,"","","BATIMENT  01","","SARTROUVILLE R DE LA LIBERTE","",2,"C",62,1958,"1979","1958","1","54",2,"","",NA,NA,"01/1900","","",NA,NA,"296","SARTROUVILLE R DE LA LIBERTE",1,78586,"RUE DE LA LIBERTE",2154,638212.7,6871068.4,"HZ","0202","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83258",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","5 B","","RUE","RUE EDITH PIAF","222",NA,"02",NA,0,"","","BATIMENT D","","SARTROUVILLE - UNION","",2,"C",63,1960,"1960","1960","1","52",1,"78/1/031984/79-444/1/075047/229","11/03/2015",NA,13,"12/2009","C","D",2031,1,"7016","SARTROUVILLE - UNION",1,78586,"RUE EDITH PIAF",2154,640184.16,6871783.16,"HZ","1201","1107010","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83364",4,"99",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","6","","VILLA","DAUMIER","",NA,"",NA,0,"","","1055L-F","1055L","SARTROUVILLE CLEME","",1,"C",67,1962,"1962","1962","1","99",1,"781061985794441075078308","20/06/1985",NA,NA,"03/2019","D","D",2013,1,"1055L","SARTROUVILLE CLEME",1,78586,"VLA DAUMIER",2154,641221.5,6871551.4,"HZ","0901","HZ","1131NZF","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83490",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","1-F","","RUE","RUE DE VERDUN B1","",NA,"A1",NA,1,"","","BATIMENT  02","","SARTROUVILLE R DE VERDUN","",2,"C",68,1965,"1965","1965","1","52",1,"78/1/08.1998/85-1231/078006/1345","31/08/1998",NA,NA,"03/2013","E","F",2024,2,"295","SARTROUVILLE R DE VERDUN",1,78586,"RUE DE VERDUN",2154,637863.19,6870712.57,"HZ","0202","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83493",4,"54",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","102","","AVENUE","AVENUE RONCE","",NA,"E",NA,1,"","","BATIMENT  02","","SARTROUVILLE AVENUE RONCE","",2,"C",59,1958,"1979","1958","1","54",2,"","",NA,NA,"03/2013","C","D",NA,NA,"297","SARTROUVILLE AVENUE RONCE",1,78586,"AV RONCE",2154,637696.7,6870948.9,"HZ","0201","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
"83502",4,"52",11,"Cle-de-France",78,"Yvelines",200058519,"CA Saint-Germain Boucles de Seine",1,78586,78500,"Sartrouville","1-F","","RUE","RUE DE VERDUN B1","",NA,"A1",NA,2,"","","BATIMENT  02","","SARTROUVILLE R DE VERDUN","",2,"C",68,1965,"1965","1965","1","52",1,"78/1/08.1998/85-1231/078006/1345","31/08/1998",NA,NA,"03/2013","E","F",2024,2,"295","SARTROUVILLE R DE VERDUN",1,78586,"RUE DE VERDUN",2154,637863.19,6870712.57,"HZ","0202","HZ","HZ","CSZ",1,1,11,NA,1,1,1,1,NA,2021,1,1,1,200058519,851,1,1114,"pauvres","moyen"
