"","equiv","NOM_IRIS"
"2184","pauvres","Merisiers /14 juillet"
"2187","pauvres","Merisiers /14 juillet"
"2218","pauvres","Merisiers /14 juillet"
"2251","pauvres","Merisiers /14 juillet"
"2254","pauvres","Merisiers /14 juillet"
"2257","pauvres","Merisiers /14 juillet"
"2260","pauvres","Merisiers /14 juillet"
"2262","pauvres","Merisiers /14 juillet"
"2266","pauvres","Merisiers /14 juillet"
"2286","pauvres","Merisiers /14 juillet"
"2288","pauvres","Merisiers /14 juillet"
"2296","pauvres","Merisiers /14 juillet"
"2297","pauvres","Merisiers /14 juillet"
"2304","pauvres","Merisiers /14 juillet"
"2305","pauvres","Merisiers /14 juillet"
"2306","pauvres","Merisiers /14 juillet"
"2307","pauvres","Merisiers /14 juillet"
"2310","pauvres","Merisiers /14 juillet"
"2315","pauvres","Merisiers /14 juillet"
"2328","pauvres","Merisiers /14 juillet"
"2350","pauvres","Merisiers /14 juillet"
"2357","pauvres","Merisiers /14 juillet"
"2359","pauvres","Merisiers /14 juillet"
"2366","pauvres","Merisiers /14 juillet"
"2368","pauvres","Merisiers /14 juillet"
"2369","pauvres","Merisiers /14 juillet"
"2373","pauvres","Merisiers /14 juillet"
"2374","pauvres","Merisiers /14 juillet"
"2378","pauvres","Merisiers /14 juillet"
"2386","pauvres","Merisiers /14 juillet"
"2387","pauvres","Merisiers /14 juillet"
"2388","pauvres","Merisiers /14 juillet"
"2395","moins pauvres","Merisiers /14 juillet"
"2396","moins pauvres","Merisiers /14 juillet"
"2397","moins pauvres","Merisiers /14 juillet"
"2416","moins pauvres","Merisiers /14 juillet"
"2421","moins pauvres","Merisiers /14 juillet"
"2424","moins pauvres","Merisiers /14 juillet"
"2425","moins pauvres","Merisiers /14 juillet"
"2430","moins pauvres","Merisiers /14 juillet"
"2434","moins pauvres","Merisiers /14 juillet"
"2439","moins pauvres","Merisiers /14 juillet"
"2446","moins pauvres","Merisiers /14 juillet"
"2452","moins pauvres","Merisiers /14 juillet"
"2454","moins pauvres","Merisiers /14 juillet"
"2461","moins pauvres","Merisiers /14 juillet"
"2464","moins pauvres","Merisiers /14 juillet"
"2469","moins pauvres","Merisiers /14 juillet"
"2478","moins pauvres","Merisiers /14 juillet"
"2479","moins pauvres","Merisiers /14 juillet"
"2480","moins pauvres","Merisiers /14 juillet"
"2492","moins pauvres","Merisiers /14 juillet"
"2512","moins pauvres","Merisiers /14 juillet"
"2523","moins pauvres","Merisiers /14 juillet"
"2525","moins pauvres","Merisiers /14 juillet"
"2544","moins pauvres","Merisiers /14 juillet"
"2552","moins pauvres","Merisiers /14 juillet"
"2553","moins pauvres","Merisiers /14 juillet"
"2554","moins pauvres","Merisiers /14 juillet"
"2556","moins pauvres","Merisiers /14 juillet"
"2566","moins pauvres","Merisiers /14 juillet"
"2590","moins pauvres","Merisiers /14 juillet"
"2592","moins pauvres","Merisiers /14 juillet"
"2629","moins pauvres","Merisiers /14 juillet"
"2636","moins pauvres","Merisiers /14 juillet"
"2645","moins pauvres","Merisiers /14 juillet"
"2649","moins pauvres","Merisiers /14 juillet"
"2650","moins pauvres","Merisiers /14 juillet"
"2662","moins pauvres","Merisiers /14 juillet"
"2666","moins pauvres","Merisiers /14 juillet"
"2668","moins pauvres","Merisiers /14 juillet"
"2670","moins pauvres","Merisiers /14 juillet"
"2671","moins pauvres","Merisiers /14 juillet"
"2673","moins pauvres","Merisiers /14 juillet"
"2676","moins pauvres","Merisiers /14 juillet"
"2677","moins pauvres","Merisiers /14 juillet"
"2680","moins pauvres","Merisiers /14 juillet"
"2690","moins pauvres","Merisiers /14 juillet"
"2712","moins pauvres","Merisiers /14 juillet"
"2713","moins pauvres","Merisiers /14 juillet"
"2716","moins pauvres","Merisiers /14 juillet"
"2717","moins pauvres","Merisiers /14 juillet"
"2722","moins pauvres","Merisiers /14 juillet"
"2731","moins pauvres","Merisiers /14 juillet"
"2741","moins pauvres","Merisiers /14 juillet"
"2751","moins pauvres","Merisiers /14 juillet"
"2752","moins pauvres","Merisiers /14 juillet"
"2754","moins pauvres","Merisiers /14 juillet"
"2756","moins pauvres","Merisiers /14 juillet"
"2758","moins pauvres","Merisiers /14 juillet"
"2759","moins pauvres","Merisiers /14 juillet"
"2760","moins pauvres","Merisiers /14 juillet"
"2761","moins pauvres","Merisiers /14 juillet"
"2762","moins pauvres","Merisiers /14 juillet"
"2764","moins pauvres","Merisiers /14 juillet"
"2774","moins pauvres","Merisiers /14 juillet"
"2777","moins pauvres","Merisiers /14 juillet"
"2783","moins pauvres","Merisiers /14 juillet"
"2785","moins pauvres","Merisiers /14 juillet"
"2786","moins pauvres","Merisiers /14 juillet"
"2788","moins pauvres","Merisiers /14 juillet"
"2789","moins pauvres","Merisiers /14 juillet"
"2793","moins pauvres","Merisiers /14 juillet"
"2797","moins pauvres","Merisiers /14 juillet"
"2804","moins pauvres","Merisiers /14 juillet"
"2824","moins pauvres","Merisiers /14 juillet"
"2853","moins pauvres","Merisiers /14 juillet"
"2864","moins pauvres","Merisiers /14 juillet"
"2882","moins pauvres","Merisiers /14 juillet"
"2890","moins pauvres","Merisiers /14 juillet"
"2894","moins pauvres","Merisiers /14 juillet"
"2895","moins pauvres","Merisiers /14 juillet"
"2899","moins pauvres","Merisiers /14 juillet"
"2900","moins pauvres","Merisiers /14 juillet"
"2902","moins pauvres","Merisiers /14 juillet"
"2903","moins pauvres","Merisiers /14 juillet"
"2906","moins pauvres","Merisiers /14 juillet"
"2907","moins pauvres","Merisiers /14 juillet"
"2908","moins pauvres","Merisiers /14 juillet"
"2917","moins pauvres","Merisiers /14 juillet"
"2922","moins pauvres","Merisiers /14 juillet"
"2926","moins pauvres","Merisiers /14 juillet"
"2927","moins pauvres","Merisiers /14 juillet"
"2929","moins pauvres","Merisiers /14 juillet"
"2932","moins pauvres","Merisiers /14 juillet"
"2934","moins pauvres","Merisiers /14 juillet"
"2935","moins pauvres","Merisiers /14 juillet"
"2937","moins pauvres","Merisiers /14 juillet"
"2938","moins pauvres","Merisiers /14 juillet"
"2939","moins pauvres","Merisiers /14 juillet"
"2943","moins pauvres","Merisiers /14 juillet"
"2944","moins pauvres","Merisiers /14 juillet"
"2946","moins pauvres","Merisiers /14 juillet"
"2947","moins pauvres","Merisiers /14 juillet"
"2948","moins pauvres","Merisiers /14 juillet"
"2951","moins pauvres","Merisiers /14 juillet"
"2952","moins pauvres","Merisiers /14 juillet"
"2953","moins pauvres","Merisiers /14 juillet"
"2973","moins pauvres","Merisiers /14 juillet"
"3008","moins pauvres","Merisiers /14 juillet"
"3020","moins pauvres","Merisiers /14 juillet"
"3021","moins pauvres","Merisiers /14 juillet"
"3024","moins pauvres","Merisiers /14 juillet"
"3026","moins pauvres","Merisiers /14 juillet"
"3029","moins pauvres","Merisiers /14 juillet"
"3030","moins pauvres","Merisiers /14 juillet"
"3031","moins pauvres","Merisiers /14 juillet"
"3039","moins pauvres","Merisiers /14 juillet"
"3045","moins pauvres","Merisiers /14 juillet"
"3049","moins pauvres","Merisiers /14 juillet"
"3052","moins pauvres","Merisiers /14 juillet"
"3057","moins pauvres","Merisiers /14 juillet"
"3062","moins pauvres","Merisiers /14 juillet"
"3063","moins pauvres","Merisiers /14 juillet"
"3073","moins pauvres","Merisiers /14 juillet"
"3074","moins pauvres","Merisiers /14 juillet"
"3075","moins pauvres","Merisiers /14 juillet"
"3077","moins pauvres","Merisiers /14 juillet"
"3078","moins pauvres","Merisiers /14 juillet"
"3079","moins pauvres","Merisiers /14 juillet"
"3081","moins pauvres","Merisiers /14 juillet"
"3083","moins pauvres","Merisiers /14 juillet"
"3084","moins pauvres","Merisiers /14 juillet"
"3085","moins pauvres","Merisiers /14 juillet"
"3088","moins pauvres","Merisiers /14 juillet"
"3090","moins pauvres","Merisiers /14 juillet"
"3093","moins pauvres","Merisiers /14 juillet"
"3098","moins pauvres","Merisiers /14 juillet"
"3099","moins pauvres","Merisiers /14 juillet"
"3103","moins pauvres","Merisiers /14 juillet"
"3105","moins pauvres","Merisiers /14 juillet"
"3107","moins pauvres","Merisiers /14 juillet"
"3109","moins pauvres","Merisiers /14 juillet"
"3111","moins pauvres","Merisiers /14 juillet"
"3112","moins pauvres","Merisiers /14 juillet"
"3113","moins pauvres","Merisiers /14 juillet"
"3114","moins pauvres","Merisiers /14 juillet"
"3115","moins pauvres","Merisiers /14 juillet"
"3117","moins pauvres","Merisiers /14 juillet"
"3121","moins pauvres","Merisiers /14 juillet"
"3122","moins pauvres","Merisiers /14 juillet"
"3124","moins pauvres","Merisiers /14 juillet"
"3125","moins pauvres","Merisiers /14 juillet"
"3127","moins pauvres","Merisiers /14 juillet"
"3128","moins pauvres","Merisiers /14 juillet"
"3129","moins pauvres","Merisiers /14 juillet"
"3130","moins pauvres","Merisiers /14 juillet"
"3135","moins pauvres","Merisiers /14 juillet"
"3139","moins pauvres","Merisiers /14 juillet"
"3140","moins pauvres","Merisiers /14 juillet"
"3141","moins pauvres","Merisiers /14 juillet"
"3142","moins pauvres","Merisiers /14 juillet"
"3146","moins pauvres","Merisiers /14 juillet"
"3148","moins pauvres","Merisiers /14 juillet"
"3156","moins pauvres","Merisiers /14 juillet"
"3158","moins pauvres","Merisiers /14 juillet"
"3165","moins pauvres","Merisiers /14 juillet"
"3167","moins pauvres","Merisiers /14 juillet"
"3193","moins pauvres","Merisiers /14 juillet"
"3199","moins pauvres","Merisiers /14 juillet"
"3201","moins pauvres","Merisiers /14 juillet"
"3206","moins pauvres","Merisiers /14 juillet"
"3208","moins pauvres","Merisiers /14 juillet"
"3213","moins pauvres","Merisiers /14 juillet"
"3216","moins pauvres","Merisiers /14 juillet"
"3218","moins pauvres","Merisiers /14 juillet"
"3221","moins pauvres","Merisiers /14 juillet"
"3222","moins pauvres","Merisiers /14 juillet"
"3223","moins pauvres","Merisiers /14 juillet"
"3225","moins pauvres","Merisiers /14 juillet"
"3238","moins pauvres","Merisiers /14 juillet"
"3261","moins pauvres","Merisiers /14 juillet"
"3275","moins pauvres","Merisiers /14 juillet"
"3285","moins pauvres","Merisiers /14 juillet"
"3295","moins pauvres","Merisiers /14 juillet"
"3305","moins pauvres","Merisiers /14 juillet"
"3318","moins pauvres","Merisiers /14 juillet"
"3322","moins pauvres","Merisiers /14 juillet"
"3324","moins pauvres","Merisiers /14 juillet"
"3326","moins pauvres","Merisiers /14 juillet"
"3327","moins pauvres","Merisiers /14 juillet"
"3332","moins pauvres","Merisiers /14 juillet"
"3335","moins pauvres","Merisiers /14 juillet"
"3350","moins pauvres","Merisiers /14 juillet"
"3355","moins pauvres","Merisiers /14 juillet"
"3365","moins pauvres","Merisiers /14 juillet"
"3367","moins pauvres","Merisiers /14 juillet"
"3376","moins pauvres","Merisiers /14 juillet"
"3395","moins pauvres","Merisiers /14 juillet"
"3399","moins pauvres","Merisiers /14 juillet"
"3410","moins pauvres","Merisiers /14 juillet"
"3475","pauvres","Merisiers /14 juillet"
"3478","pauvres","Merisiers /14 juillet"
"3481","pauvres","Merisiers /14 juillet"
"3484","pauvres","Merisiers /14 juillet"
"3488","pauvres","Merisiers /14 juillet"
"3489","pauvres","Merisiers /14 juillet"
"3490","pauvres","Merisiers /14 juillet"
"3491","pauvres","Merisiers /14 juillet"
"3492","pauvres","Merisiers /14 juillet"
"3493","pauvres","Merisiers /14 juillet"
"3494","pauvres","Merisiers /14 juillet"
"3495","pauvres","Merisiers /14 juillet"
"3498","pauvres","Merisiers /14 juillet"
"3500","pauvres","Merisiers /14 juillet"
"3503","pauvres","Merisiers /14 juillet"
"3504","pauvres","Merisiers /14 juillet"
"3514","pauvres","Merisiers /14 juillet"
"8403","pauvres","Merisiers /14 juillet"
"8404","pauvres","Merisiers /14 juillet"
"8405","pauvres","Merisiers /14 juillet"
"8406","pauvres","Merisiers /14 juillet"
"8409","pauvres","Merisiers /14 juillet"
"8410","pauvres","Merisiers /14 juillet"
"8411","pauvres","Merisiers /14 juillet"
"8412","pauvres","Merisiers /14 juillet"
"8413","pauvres","Merisiers /14 juillet"
"8414","pauvres","Merisiers /14 juillet"
"8415","pauvres","Merisiers /14 juillet"
"8416","pauvres","Merisiers /14 juillet"
"8419","pauvres","Merisiers /14 juillet"
"8420","pauvres","Merisiers /14 juillet"
"8421","pauvres","Merisiers /14 juillet"
"8422","pauvres","Merisiers /14 juillet"
"8423","pauvres","Merisiers /14 juillet"
"8424","pauvres","Merisiers /14 juillet"
"8425","pauvres","Merisiers /14 juillet"
"8426","pauvres","Merisiers /14 juillet"
"8429","pauvres","Merisiers /14 juillet"
"8430","pauvres","Merisiers /14 juillet"
"8431","pauvres","Merisiers /14 juillet"
"8434","pauvres","Merisiers /14 juillet"
"8435","pauvres","Merisiers /14 juillet"
"8436","pauvres","Merisiers /14 juillet"
"8437","pauvres","Merisiers /14 juillet"
"8438","pauvres","Merisiers /14 juillet"
"8439","pauvres","Merisiers /14 juillet"
"8440","pauvres","Merisiers /14 juillet"
"8441","pauvres","Merisiers /14 juillet"
"8442","pauvres","Merisiers /14 juillet"
"8443","pauvres","Merisiers /14 juillet"
"8444","pauvres","Merisiers /14 juillet"
"8445","pauvres","Merisiers /14 juillet"
"8446","pauvres","Merisiers /14 juillet"
"8447","pauvres","Merisiers /14 juillet"
"8448","pauvres","Merisiers /14 juillet"
"8450","pauvres","Merisiers /14 juillet"
"8451","pauvres","Merisiers /14 juillet"
"8452","pauvres","Merisiers /14 juillet"
"8453","pauvres","Merisiers /14 juillet"
"8454","pauvres","Merisiers /14 juillet"
"8455","pauvres","Merisiers /14 juillet"
"8456","pauvres","Merisiers /14 juillet"
