"","Code","LIBCOM","nb","zone","Libellé","Unités.légales..en.nombre..2021","Résidences.principales.2019","Part.des.non.diplômés.chez.les.20.24.ans.sortis.des.études..2018","Implantations.France.Services..IFS...en.nombre..2021"
"228","92032","Fontenay-aux-Roses",4237,"IDF_DEP_92","Fontenay-aux-Roses",1596,11030,15.9,0
"229","92036","Gennevilliers",11928,"IDF_DEP_92","Gennevilliers",4215,19241,21.9,0
"230","92040","Issy-les-Moulineaux",7833,"IDF_DEP_92","Issy-les-Moulineaux",7637,31835,10.8,0
"231","92044","Levallois-Perret",5918,"IDF_DEP_92","Levallois-Perret",10957,31822,8.5,0
"232","92046","Malakoff",5716,"IDF_DEP_92","Malakoff",3053,14649,15.5,0
"233","92048","Meudon",5084,"IDF_DEP_92","Meudon",4258,19720,11.3,0
"234","92049","Montrouge",5201,"IDF_DEP_92","Montrouge",5406,24317,7.3,0
"235","92050","Nanterre",20880,"IDF_DEP_92","Nanterre",9101,38575,17.8,0
"236","92060","Le Plessis-Robinson",4178,"IDF_DEP_92","Le Plessis-Robinson",1899,13271,16.8,0
"237","92062","Puteaux",6535,"IDF_DEP_92","Puteaux",7104,21131,9.6,0
"238","92063","Rueil-Malmaison",8040,"IDF_DEP_92","Rueil-Malmaison",8227,33603,13.1,0
"239","92064","Saint-Cloud",2121,"IDF_DEP_92","Saint-Cloud",3798,12825,10.8,0
"240","92072","Sèvres",2378,"IDF_DEP_92","Sèvres",2539,10070,15.5,0
"241","92073","Suresnes",7686,"IDF_DEP_92","Suresnes",5338,21933,14,0
"242","92075","Vanves",3087,"IDF_DEP_92","Vanves",2386,13291,11.1,0
"243","92078","Villeneuve-la-Garenne",5006,"IDF_DEP_92","Villeneuve-la-Garenne",2003,9169,20.9,1
"244","93001","Aubervilliers",12389,"IDF_DEP_93","Aubervilliers",12201,33433,29.2,0
"245","93005","Aulnay-sous-Bois",9705,"IDF_DEP_93","Aulnay-sous-Bois",6914,30419,22.8,0
"246","93006","Bagnolet",6843,"IDF_DEP_93","Bagnolet",5154,14981,17.9,1
"247","93007","Le Blanc-Mesnil",7890,"IDF_DEP_93","Le Blanc-Mesnil",4185,20276,26.7,0
"248","93008","Bobigny",10165,"IDF_DEP_93","Bobigny",6342,19232,31,0
"249","93010","Bondy",9390,"IDF_DEP_93","Bondy",4100,20268,27.7,1
"250","93014","Clichy-sous-Bois",3323,"IDF_DEP_93","Clichy-sous-Bois",2478,8998,31,0
"251","93027","La Courneuve",7763,"IDF_DEP_93","La Courneuve",4426,15662,33.9,0
"252","93029","Drancy",8410,"IDF_DEP_93","Drancy",7208,28040,24,1
"253","93030","Dugny",2865,"IDF_DEP_93","Dugny",533,4060,23.5,0
"254","93031","Épinay-sur-Seine",6560,"IDF_DEP_93","Épinay-sur-Seine",4853,20456,18.3,0
"255","93032","Gagny",3490,"IDF_DEP_93","Gagny",2830,15494,22.1,1
"256","93045","Les Lilas",3188,"IDF_DEP_93","Les Lilas",2485,10868,14,0
"257","94002","Alfortville",8363,"IDF_DEP_94","Alfortville",4376,20682,17,0
"258","94003","Arcueil",4367,"IDF_DEP_94","Arcueil",1940,10036,16.5,0
"259","94004","Boissy-Saint-Léger",2249,"IDF_DEP_94","Boissy-Saint-Léger",1430,6627,24,1
"260","94011","Bonneuil-sur-Marne",4234,"IDF_DEP_94","Bonneuil-sur-Marne",1409,7115,24.9,1
"261","94016","Cachan",4887,"IDF_DEP_94","Cachan",2222,13565,12.4,0
"262","94017","Champigny-sur-Marne",12283,"IDF_DEP_94","Champigny-sur-Marne",6395,30530,18.7,1
"263","94018","Charenton-le-Pont",3907,"IDF_DEP_94","Charenton-le-Pont",3474,14071,8.7,0
"264","94021","Chevilly-Larue",3035,"IDF_DEP_94","Chevilly-Larue",1746,7875,15.2,0
"265","94022","Choisy-le-Roi",6638,"IDF_DEP_94","Choisy-le-Roi",3710,19487,15.6,0
"266","94028","Créteil",14625,"IDF_DEP_94","Créteil",7387,38463,17.8,0
"267","94033","Fontenay-sous-Bois",7361,"IDF_DEP_94","Fontenay-sous-Bois",5050,21764,19.8,0
"268","94034","Fresnes",3342,"IDF_DEP_94","Fresnes",1632,11138,21.2,0
"269","94037","Gentilly",4559,"IDF_DEP_94","Gentilly",1583,8996,17.6,0
"270","94038","L'Haÿ-les-Roses",3274,"IDF_DEP_94","L'Haÿ-les-Roses",1979,13050,14.9,0
"271","94041","Ivry-sur-Seine",11471,"IDF_DEP_94","Ivry-sur-Seine",6496,28845,19.4,0
"272","94042","Joinville-le-Pont",2187,"IDF_DEP_94","Joinville-le-Pont",1849,8858,11,0
"273","94043","Le Kremlin-Bicêtre",4499,"IDF_DEP_94","Le Kremlin-Bicêtre",2251,11514,14,0
"274","94044","Limeil-Brévannes",3127,"IDF_DEP_94","Limeil-Brévannes",1694,10367,14.9,0
"275","94046","Maisons-Alfort",6601,"IDF_DEP_94","Maisons-Alfort",4884,25984,9.7,0
