X,Y,Compter - Colonne A
"662657,89","6866941,1",8
"662661,5","6866976,5",8
"662667,2","6866990,7",8
"662672,69","6866980,22",17
"662675,22","6867009,24",16
"662679,5","6866808,8",11
"662684,9","6866718,3",20
"662685,47","6868251,89",10
"662688,4","6866729,1",10
662689,"6866832,4",10
"662691,9","6867076,8",15
662692,"6866739,9",10
"662695,6","6866750,8",20
"662699,1","6867094,5",10
"662699,91","6866268,72",9
"662701,1","6866767,7",10
"662702,01","6868255,7",10
"662704,55","6866287,51",12
"662706,4","6867112,3",10
"662707,1","6866787,1",10
"662710,77","6866306,5",9
"662713,2","6866806,5",10
"662713,7",6867130,10
662721,"6867147,8",10
"662722,09","6866905,17",8
"662724,1","6866193,6",1
"662728,3","6867165,5",10
"662731,3",6866192,1
"662735,6","6867183,3",10
"662738,6","6866190,4",1
"662740,4","6866939,75",8
"662742,9","6867201,1",10
"662745,8","6866188,9",1
"662749,35","6866404,31",1
"662766,3","6867559,8",1
"662766,6","6866965,1",8
"662774,9","6867553,7",1
"662776,2","6867559,9",1
"662780,1","6867560,8",1
"662780,12","6867000,08",16
"662785,7","6867564,5",1
662793,"6867566,3",1
"662793,72","6866317,17",1
"662797,7","6866388,7",1
"662800,5","6867031,4",10
"662801,3","6867560,4",1
"662806,5","6867043,2",10
"662807,4","6867562,5",1
"662812,6",6867055,10
"662815,2","6866379,3",1
"662817,4","6867564,1",1
"662818,6","6867066,8",10
"662820,2","6866304,9",1
"662824,7","6867078,6",10
662830,"6867566,9",1
"662830,8","6867090,4",11
662834,"6867567,9",1
"662836,04","6866335,89",1
"662837,5",6866800,34
"662846,4","6867571,2",1
"662852,6","6867572,4",1
"662854,1","6866004,5",1
"662857,9","6867573,6",1
"662870,3",6867583,1
662872,"6867591,6",1
"662872,8",6867588,1
"663124,7","6865984,8",11
Total Résultat,,6534
