Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
26072,Chantemerle-les-Blés,81,491,6.9,0
26073,Chantemerle-lès-Grignan,25,113,12.5,0
26074,La Chapelle-en-Vercors,118,354,5.9,1
26075,La Charce,1,16,0,0
26076,Charens,0,18,N/A,0
26077,Charmes-sur-l'Herbasse,56,381,7.7,0
26078,Charols,62,349,19,0
26079,Charpey,73,581,4.3,0
26080,Chastel-Arnaud,3,17,N/A,0
26081,Châteaudouble,59,232,0,0
26082,Châteauneuf-de-Bordette,5,49,0,0
26083,Châteauneuf-de-Galaure,122,677,14.8,0
26084,Châteauneuf-sur-Isère,414,1590,8.8,0
26085,Châteauneuf-du-Rhône,229,1163,14.5,0
26086,Châtillon-en-Diois,91,377,13.3,0
26087,Châtillon-Saint-Jean,100,523,7.8,0
26088,Chatuzange-le-Goubet,419,2420,8.2,0
26089,Chaudebonne,5,30,0,0
26090,La Chaudière,9,12,N/A,0
26091,Chauvac-Laux-Montaux,0,19,N/A,0
26092,Chavannes,36,282,15,0
26093,Clansayes,31,231,0,0
26094,Claveyson,56,370,17.3,0
26095,Cléon-d'Andran,134,413,6.9,0
26096,Clérieux,134,828,14.4,0
26097,Cliousclat,66,286,16.1,0
26098,Cobonne,18,75,0,0
26099,Colonzelle,40,241,16,0
26100,Combovin,28,189,37.5,0
26101,Comps,14,65,0,0
26102,Condillac,11,59,25,0
26103,Condorcet,41,215,31,0
26104,Cornillac,2,44,0,0
26105,Cornillon-sur-l'Oule,10,45,0,0
26106,La Coucourde,87,471,9.1,0
26107,Crépol,45,236,5.9,0
26108,Crest,994,4212,20.5,0
26110,Crozes-Hermitage,25,254,25.5,0
26111,Crupies,14,46,0,0
26112,Curnier,21,95,0,0
26113,Die,617,2407,17.1,1
26114,Dieulefit,403,1610,4.7,0
26115,Divajeu,51,269,8.4,0
26116,Donzère,397,2504,17.8,1
26117,Échevis,5,26,0,0
26118,Épinouze,129,623,9.1,0
26119,Érôme,61,352,0,0
26121,Espeluche,85,464,6,0
26122,Espenel,19,82,25,0
26123,Establet,5,16,N/A,0
26124,Étoile-sur-Rhône,508,2196,16.6,0
26125,Eurre,157,550,16.7,0
26126,Eygalayes,4,47,100,0
26127,Eygaliers,16,55,0,0
26128,Eygluy-Escoulin,7,33,0,0
26129,Eymeux,78,395,36.8,0
26130,Eyroles,0,13,N/A,0
26131,Eyzahut,14,77,50,0
26133,Fay-le-Clos,7,73,0,0
26134,Félines-sur-Rimandoule,7,37,0,0
26135,Ferrassières,9,65,50,0
26136,Val-Maravel,7,25,0,0
26137,Francillon-sur-Roubion,18,94,20,0
26138,La Garde-Adhémar,99,499,14.1,0
26139,Génissieux,197,975,19.4,0
26140,Geyssans,61,279,6.1,0
26141,Gigors-et-Lozeron,34,104,0,0
26142,Glandage,19,53,0,0
26143,Le Grand-Serre,71,401,7.2,0
26144,Grane,162,831,5.3,0
26145,Les Granges-Gontardes,44,292,10.3,0
26146,Grignan,271,765,4.5,0
26147,Gumiane,2,12,N/A,0
26148,Hauterives,163,809,6.4,1
26149,Hostun,69,408,7.3,0
26150,Izon-la-Bruisse,1,5,N/A,0
26152,Jonchères,4,17,N/A,0
26153,Laborel,8,54,25,0
26154,Lachau,13,124,33.3,0
26155,Lapeyrouse-Mornay,92,479,13.1,0
26156,Larnage,70,431,11.8,0
26157,La Laupie,49,305,0,0
26159,Laval-d'Aix,11,60,0,0
26160,Laveyron,82,483,18,0
26161,Lemps,2,27,0,0
26162,Lens-Lestang,48,408,28,0
26163,Léoncel,7,21,100,0
26164,Lesches-en-Diois,7,30,N/A,0
26165,Livron-sur-Drôme,675,3966,14.6,1
26166,Loriol-sur-Drôme,487,2752,18.7,0
26167,Luc-en-Diois,73,304,36.4,0
26168,Lus-la-Croix-Haute,71,263,5.3,0
26169,Malataverne,196,857,15.4,0
26170,Malissard,244,1360,24.6,0
26171,Manas,20,95,40,0
26172,Manthes,41,296,20.6,0
26173,Marches,60,347,22.4,0
26174,Margès,77,442,12.5,0
26175,Marignac-en-Diois,23,102,66.7,0
26176,Marsanne,107,577,5.1,0
26177,Marsaz,42,286,13,0
26178,Menglon,51,239,7.1,0
26179,Mercurol-Veaunes,193,991,21.5,0
26180,Mérindol-les-Oliviers,20,111,16.7,0
26181,Mévouillon,29,112,0,0
26182,Mirabel-aux-Baronnies,136,745,15.4,0
26183,Mirabel-et-Blacons,95,502,16.7,0
26185,Mirmande,83,273,11.2,0
26186,Miscon,12,28,0,0
26188,Mollans-sur-Ouvèze,111,547,12.1,0
26189,Montauban-sur-l'Ouvèze,17,60,N/A,0
26190,Montaulieu,5,39,N/A,0
26191,Montboucher-sur-Jabron,293,1067,13.4,0
