Recensement agricole 2020; ; ; ; ; ; 
Référentiel géographique : France (Métropole) par Commune 2020; ; ; ; ; ; 
Sélection : Côtes-d'Armor; ; ; ; ; ; 
Code;Libellé;Nombre d'exploitations avec superficie irrigable, 2020;Nombre d'exploitations avec superficie irrigable, 2020 - estimation (*=oui);Nombre d’exploitations avec des porcs à l'engraissement, 2020;Nombre d’exploitations avec des porcs à l'engraissement, 2020 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Nombre de chefs d'exploitation et coexploitants, 2020;Nombre de chefs d'exploitation et coexploitants, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui)
22291;Saint-Gildas;0;;N/A;;1278;;29;;424;
22293;Saint-Gilles-les-Bois;N/A;;N/A;;527;;12;;N/A;
22294;Saint-Gilles-Pligeaux;N/A;;N/A;;795;;24;;329;
22295;Saint-Gilles-Vieux-Marché;0;;N/A;;1563;;25;;789;
22296;Saint-Glen;0;;5;;624;;17;;390;
22299;Saint-Hélen;0;;N/A;;1105;;19;;526;
22300;Saint-Hervé;N/A;;N/A;;626;;21;;301;
22302;Saint-Jacut-de-la-Mer;0;;0;;0;;0;;0;
22304;Saint-Jean-Kerdaniel;0;;N/A;;747;;16;;377;
22305;Saint-Jouan-de-l'Isle;0;;6;;941;;30;;398;
22306;Saint-Judoce;N/A;;6;;923;;24;;660;
22307;Saint-Julien;N/A;;N/A;;187;;4;;N/A;
22308;Saint-Juvat;N/A;;3;;1173;;24;;607;
22309;Saint-Launeuc;0;;N/A;;381;;6;;N/A;
22310;Saint-Laurent;0;;N/A;;883;;24;;603;
22311;Saint-Lormel;0;;0;;533;;9;;208;
22312;Saint-Maden;0;;N/A;;572;;11;;392;
22313;Saint-Martin-des-Prés;0;;4;;1466;;31;;753;
22314;Saint-Maudan;0;;N/A;;399;;10;;367;
22315;Saint-Maudez;0;;N/A;;372;;6;;N/A;
22316;Saint-Mayeux;N/A;;5;;1764;;30;;448;
22317;Saint-Méloir-des-Bois;N/A;;N/A;;474;;8;;315;
22318;Saint-Michel-de-Plélan;0;;0;;367;;14;;292;
22319;Saint-Michel-en-Grève;0;;0;;237;;4;;N/A;
22320;Saint-Nicodème;0;;N/A;;552;;14;;N/A;
