"","taille","NOM_IRIS"
"6127","moyen","Merisiers /14 juillet"
"6129","moyen","Merisiers /14 juillet"
"6130","moyen","Merisiers /14 juillet"
"6138","moyen","Merisiers /14 juillet"
"6140","moyen","Merisiers /14 juillet"
"6151","moyen","Merisiers /14 juillet"
"6159","moyen","Merisiers /14 juillet"
"6184","moyen","Merisiers /14 juillet"
"6187","moyen","Merisiers /14 juillet"
"6189","moyen","Merisiers /14 juillet"
"6201","moyen","Merisiers /14 juillet"
"6204","moyen","Merisiers /14 juillet"
"6207","moyen","Merisiers /14 juillet"
"6220","moyen","Merisiers /14 juillet"
"6225","moyen","Merisiers /14 juillet"
"6226","moyen","Merisiers /14 juillet"
"6227","moyen","Merisiers /14 juillet"
"6236","moyen","Merisiers /14 juillet"
"6240","moyen","Merisiers /14 juillet"
"6243","moyen","Merisiers /14 juillet"
"6244","moyen","Merisiers /14 juillet"
"6254","moyen","Merisiers /14 juillet"
"6255","moyen","Merisiers /14 juillet"
"6282","moyen","Merisiers /14 juillet"
"6286","moyen","Merisiers /14 juillet"
"6297","moyen","Merisiers /14 juillet"
"6302","moyen","Merisiers /14 juillet"
"6303","moyen","Merisiers /14 juillet"
"6311","moyen","Merisiers /14 juillet"
"6319","moyen","Merisiers /14 juillet"
"6320","moyen","Merisiers /14 juillet"
"6324","moyen","Merisiers /14 juillet"
"6327","moyen","Merisiers /14 juillet"
"6332","moyen","Merisiers /14 juillet"
"6339","moyen","Merisiers /14 juillet"
"6345","moyen","Merisiers /14 juillet"
"6348","moyen","Merisiers /14 juillet"
"6352","moyen","Merisiers /14 juillet"
"6358","moyen","Merisiers /14 juillet"
"6359","moyen","Merisiers /14 juillet"
"6361","moyen","Merisiers /14 juillet"
"6362","moyen","Merisiers /14 juillet"
"6368","moyen","Merisiers /14 juillet"
"6370","moyen","Merisiers /14 juillet"
"6383","moyen","Merisiers /14 juillet"
"6384","moyen","Merisiers /14 juillet"
"6392","moyen","Merisiers /14 juillet"
"6401","moyen","Merisiers /14 juillet"
"6408","moyen","Merisiers /14 juillet"
"6412","moyen","Merisiers /14 juillet"
"6426","moyen","Merisiers /14 juillet"
"6438","moyen","Merisiers /14 juillet"
"6443","moyen","Merisiers /14 juillet"
"6453","moyen","Merisiers /14 juillet"
"6455","moyen","Merisiers /14 juillet"
"6459","moyen","Merisiers /14 juillet"
"6466","moyen","Merisiers /14 juillet"
"6473","moyen","Merisiers /14 juillet"
"6523","moyen","Merisiers /14 juillet"
"6525","moyen","Merisiers /14 juillet"
"6538","moyen","Merisiers /14 juillet"
"6585","moyen","Merisiers /14 juillet"
"6614","moyen","Merisiers /14 juillet"
"6619","moyen","Merisiers /14 juillet"
"6624","moyen","Merisiers /14 juillet"
"6631","moyen","Merisiers /14 juillet"
"6678","moyen","Merisiers /14 juillet"
"6689","moyen","Merisiers /14 juillet"
"6707","moyen","Merisiers /14 juillet"
"6768","moyen","Merisiers /14 juillet"
"6801","moyen","Merisiers /14 juillet"
"6814","moyen","Merisiers /14 juillet"
"6847","moyen","Merisiers /14 juillet"
"6880","moyen","Merisiers /14 juillet"
"6886","moyen","Merisiers /14 juillet"
"6890","moyen","Merisiers /14 juillet"
"6897","moyen","Merisiers /14 juillet"
"6907","moyen","Merisiers /14 juillet"
"6932","moyen","Merisiers /14 juillet"
"6933","moyen","Merisiers /14 juillet"
"6938","moyen","Merisiers /14 juillet"
"6955","moyen","Merisiers /14 juillet"
"6966","moyen","Merisiers /14 juillet"
"6967","moyen","Merisiers /14 juillet"
"6982","moyen","Merisiers /14 juillet"
"6985","moyen","Merisiers /14 juillet"
"6993","moyen","Merisiers /14 juillet"
"7022","moyen","Merisiers /14 juillet"
"7024","moyen","Merisiers /14 juillet"
"7042","moyen","Merisiers /14 juillet"
"7047","moyen","Merisiers /14 juillet"
"7065","moyen","Merisiers /14 juillet"
"7072","moyen","Merisiers /14 juillet"
"7081","moyen","Merisiers /14 juillet"
"7087","moyen","Merisiers /14 juillet"
"7131","moyen","Merisiers /14 juillet"
"7135","moyen","Merisiers /14 juillet"
"7160","moyen","Merisiers /14 juillet"
"7182","moyen","Merisiers /14 juillet"
"7215","moyen","Merisiers /14 juillet"
"7219","moyen","Merisiers /14 juillet"
"7225","moyen","Merisiers /14 juillet"
"7235","moyen","Merisiers /14 juillet"
