"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2188758";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"11/07/2022";"Vente";96000;38;"";"RUE";"1200";"DES MAUVES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AN";253;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";388
"2188835";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"30/06/2022";"Vente";61500;27;"";"CHE";"0506";"DE L EPI BLOND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";269;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";451
"2188957";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"07/07/2022";"Vente";140000;25;"";"RUE";"0545";"DE LA FONTAINE LADUREE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AT";538;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;103;5;"S";"";204
"2189030";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;9001;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";51;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";508
"2189031";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;9001;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";51;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";508
"2189032";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;9001;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";51;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";508
"2189033";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;9001;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";51;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;75;3;"S";"";508
"2189034";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;NA;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";52;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"J";"POTAG";212
"2189035";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;NA;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";163;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";34
"2189036";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"11/07/2022";"Vente";140000;NA;"";"RLE";"1323";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AW";164;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";170
